evaluation_policy_version,round_id,round_number,provenance_class,formal_cohort,active_phase,candidate_id,formulation_id,recommendation_type,selection_rank,endpoint,endpoint_role,metric_type,prediction_mean,prediction_std,observed_mean,observed_unit,replicate_count,completed_row_count,evaluation_eligible,exclusion_reason,formal_metric_eligible,formal_exclusion_reason,signed_error,absolute_error,squared_error,standardized_residual,interval_95_lower,interval_95_upper,interval_95_covered,brier_score,classification_correct
prospective_evaluation_v2,ROUND_001,1,reconstructed,False,screening_only,cand_001486,v2_4a0cb1ead8d1,screening_candidate,7,critical_axial_load_N_per_needle,mechanical_secondary,continuous,0.0,0.0,,,0,1,False,not_measured,False,not_measured,,,,,,,,,
prospective_evaluation_v2,ROUND_001,1,reconstructed,False,screening_only,cand_001227,v2_6b7389efb1b5,screening_candidate,8,viability_percent,primary,continuous,59.82829861111112,59.684139475517846,35.92,percent,1,1,True,,False,outside_formal_cohort,23.90829861111112,23.90829861111112,571.606742478058,0.4005804359618554,-57.15261476090386,176.8092119831261,True,,
prospective_evaluation_v2,ROUND_001,1,reconstructed,False,screening_only,cand_001227,v2_6b7389efb1b5,screening_candidate,8,intact_patch_formation_pass,gate_secondary,binary,1.0,,0.0,binary,1,1,True,,False,outside_formal_cohort,1.0,1.0,1.0,,,,,1.0,False
prospective_evaluation_v2,ROUND_001,1,reconstructed,False,screening_only,cand_001227,v2_6b7389efb1b5,screening_candidate,8,critical_axial_load_N_per_needle,mechanical_secondary,continuous,0.0,0.0,,,0,1,False,not_measured,False,not_measured,,,,,,,,,
prospective_evaluation_v2,ROUND_001,1,reconstructed,False,screening_only,cand_000585,v2_a803deb82ca6,screening_candidate,9,viability_percent,primary,continuous,59.828298612191006,59.684139475517846,28.72,percent,1,1,True,,False,outside_formal_cohort,31.108298612191007,31.108298612191007,967.7262425452449,0.5212155002243349,-57.152614759823976,176.809211984206,True,,
prospective_evaluation_v2,ROUND_001,1,reconstructed,False,screening_only,cand_000585,v2_a803deb82ca6,screening_candidate,9,intact_patch_formation_pass,gate_secondary,binary,1.0,,0.0,binary,1,1,True,,False,outside_formal_cohort,1.0,1.0,1.0,,,,,1.0,False
prospective_evaluation_v2,ROUND_001,1,reconstructed,False,screening_only,cand_000585,v2_a803deb82ca6,screening_candidate,9,critical_axial_load_N_per_needle,mechanical_secondary,continuous,0.0,0.0,,,0,1,False,not_measured,False,not_measured,,,,,,,,,
prospective_evaluation_v2,ROUND_001,1,reconstructed,False,screening_only,cand_000280,v2_49123b81735d,screening_candidate,10,viability_percent,primary,continuous,61.12987215,59.12054774,40.44,percent,1,1,True,,False,outside_formal_cohort,20.68987215,20.68987215,428.0708095833456,0.3499607656036916,-54.746401420400005,177.0061457204,True,,
prospective_evaluation_v2,ROUND_001,1,reconstructed,False,screening_only,cand_000280,v2_49123b81735d,screening_candidate,10,intact_patch_formation_pass,gate_secondary,binary,1.0,,0.0,binary,1,1,True,,False,outside_formal_cohort,1.0,1.0,1.0,,,,,1.0,False
prospective_evaluation_v2,ROUND_001,1,reconstructed,False,screening_only,cand_000280,v2_49123b81735d,screening_candidate,10,critical_axial_load_N_per_needle,mechanical_secondary,continuous,0.0,0.0,,,0,1,False,not_measured,False,not_measured,,,,,,,,,
prospective_evaluation_v2,ROUND_001,1,reconstructed,False,screening_only,cand_001920,v2_b9ae21107fa4,screening_candidate,11,viability_percent,primary,continuous,59.82829861111112,59.684139475517846,15.93,percent,1,1,True,,False,outside_formal_cohort,43.89829861111112,43.89829861111112,1927.0606209502807,0.7355102879403664,-57.15261476090386,176.8092119831261,True,,
prospective_evaluation_v2,ROUND_001,1,reconstructed,False,screening_only,cand_001920,v2_b9ae21107fa4,screening_candidate,11,intact_patch_formation_pass,gate_secondary,binary,1.0,,0.0,binary,1,1,True,,False,outside_formal_cohort,1.0,1.0,1.0,,,,,1.0,False
prospective_evaluation_v2,ROUND_001,1,reconstructed,False,screening_only,cand_001920,v2_b9ae21107fa4,screening_candidate,11,critical_axial_load_N_per_needle,mechanical_secondary,continuous,0.0,0.0,,,0,1,False,not_measured,False,not_measured,,,,,,,,,
prospective_evaluation_v2,ROUND_001,1,reconstructed,False,screening_only,cand_001369,v2_a2b4c2d7b0b6,screening_candidate,12,viability_percent,primary,continuous,59.828298331443285,59.68413947551783,24.39,percent,1,1,True,,False,outside_formal_cohort,35.438298331443285,35.438298331443285,1255.8729886283759,0.5937640827674145,-57.15261504057167,176.80921170345823,True,,
prospective_evaluation_v2,ROUND_001,1,reconstructed,False,screening_only,cand_001369,v2_a2b4c2d7b0b6,screening_candidate,12,intact_patch_formation_pass,gate_secondary,binary,1.0,,0.0,binary,1,1,True,,False,outside_formal_cohort,1.0,1.0,1.0,,,,,1.0,False
prospective_evaluation_v2,ROUND_001,1,reconstructed,False,screening_only,cand_001369,v2_a2b4c2d7b0b6,screening_candidate,12,critical_axial_load_N_per_needle,mechanical_secondary,continuous,0.0,0.0,,,0,1,False,not_measured,False,not_measured,,,,,,,,,
prospective_evaluation_v2,ROUND_002,2,migration_frozen_supplementary,False,screening_only,retest_v2_e0e6b16a3f20,v2_e0e6b16a3f20,retest_priority,1,viability_percent,primary,continuous,53.6457373443071,58.91117683851668,30.4375,percent,4,4,True,,False,outside_formal_cohort,23.2082373443071,23.2082373443071,538.6222806296907,0.39395304235601925,-61.8201692591856,169.1116439477998,True,,
prospective_evaluation_v2,ROUND_002,2,migration_frozen_supplementary,False,screening_only,retest_v2_e0e6b16a3f20,v2_e0e6b16a3f20,retest_priority,1,intact_patch_formation_pass,gate_secondary,binary,0.0211455223529505,,1.0,binary,1,4,True,,False,outside_formal_cohort,-0.9788544776470495,0.9788544776470495,0.958156088409678,,,,,0.958156088409678,False
prospective_evaluation_v2,ROUND_002,2,migration_frozen_supplementary,False,screening_only,retest_v2_e0e6b16a3f20,v2_e0e6b16a3f20,retest_priority,1,critical_axial_load_N_per_needle,mechanical_secondary,continuous,0.0,0.0,,,0,4,False,not_measured,False,not_measured,,,,,,,,,
prospective_evaluation_v2,ROUND_002,2,migration_frozen_supplementary,False,screening_only,rescue_000007,v2_75d69addc009,rescue_candidate,2,viability_percent,primary,continuous,58.08481644640096,59.72389397310317,29.2025,percent,4,4,True,,False,outside_formal_cohort,28.882316446400957,28.882316446400957,834.1882033100431,0.48359734312381225,-58.97401574088126,175.14364863368317,True,,
prospective_evaluation_v2,ROUND_002,2,migration_frozen_supplementary,False,screening_only,rescue_000007,v2_75d69addc009,rescue_candidate,2,intact_patch_formation_pass,gate_secondary,binary,0.109207062575762,,0.0,binary,1,4,True,,False,outside_formal_cohort,0.109207062575762,0.109207062575762,0.011926182516426397,,,,,0.011926182516426397,True
prospective_evaluation_v2,ROUND_002,2,migration_frozen_supplementary,False,screening_only,rescue_000007,v2_75d69addc009,rescue_candidate,2,critical_axial_load_N_per_needle,mechanical_secondary,continuous,0.0,0.0,,,0,4,False,not_measured,False,not_measured,,,,,,,,,
prospective_evaluation_v2,ROUND_002,2,migration_frozen_supplementary,False,screening_only,rescue_000001,v2_42188f45e98a,rescue_candidate,3,viability_percent,primary,continuous,51.49537538492657,57.407414804783016,38.805,percent,4,4,True,,False,outside_formal_cohort,12.690375384926568,12.690375384926568,161.04562741035014,0.22105812338146333,-61.02315763244814,164.01390840230127,True,,
prospective_evaluation_v2,ROUND_002,2,migration_frozen_supplementary,False,screening_only,rescue_000001,v2_42188f45e98a,rescue_candidate,3,intact_patch_formation_pass,gate_secondary,binary,0.1261488264853562,,1.0,binary,1,4,True,,False,outside_formal_cohort,-0.8738511735146438,0.8738511735146438,0.7636158734529201,,,,,0.7636158734529201,False
prospective_evaluation_v2,ROUND_002,2,migration_frozen_supplementary,False,screening_only,rescue_000001,v2_42188f45e98a,rescue_candidate,3,critical_axial_load_N_per_needle,mechanical_secondary,continuous,0.0,0.0,,,0,4,False,not_measured,False,not_measured,,,,,,,,,
prospective_evaluation_v2,ROUND_002,2,migration_frozen_supplementary,False,screening_only,cand_000738,v2_a3cd6cc2afa7,screening_candidate,4,viability_percent,primary,continuous,74.60230823881152,55.526567313336706,57.3875,percent,4,4,True,,False,outside_formal_cohort,17.214808238811514,17.214808238811514,296.3496226990528,0.31002831746591253,-34.22976369532843,183.43438017295148,True,,
prospective_evaluation_v2,ROUND_002,2,migration_frozen_supplementary,False,screening_only,cand_000738,v2_a3cd6cc2afa7,screening_candidate,4,intact_patch_formation_pass,gate_secondary,binary,0.0511441599583259,,1.0,binary,1,4,True,,False,outside_formal_cohort,-0.9488558400416741,0.9488558400416741,0.900327405181191,,,,,0.900327405181191,False
prospective_evaluation_v2,ROUND_002,2,migration_frozen_supplementary,False,screening_only,cand_000738,v2_a3cd6cc2afa7,screening_candidate,4,critical_axial_load_N_per_needle,mechanical_secondary,continuous,0.0,0.0,,,0,4,False,not_measured,False,not_measured,,,,,,,,,
prospective_evaluation_v2,ROUND_002,2,migration_frozen_supplementary,False,screening_only,cand_000100,v2_655729013931,screening_candidate,5,viability_percent,primary,continuous,71.70527117827463,56.35075487087309,64.9,percent,4,4,True,,False,outside_formal_cohort,6.805271178274623,6.805271178274623,46.31171580985527,0.12076628243701082,-38.742208368636625,182.15275072518588,True,,
prospective_evaluation_v2,ROUND_002,2,migration_frozen_supplementary,False,screening_only,cand_000100,v2_655729013931,screening_candidate,5,intact_patch_formation_pass,gate_secondary,binary,0.0625870719194812,,1.0,binary,1,4,True,,False,outside_formal_cohort,-0.9374129280805188,0.9374129280805188,0.8787429977324919,,,,,0.8787429977324919,False
