endpoint,cohort,mechanical_definition_id,n,mae,bias,rmse,r2,interval_95_coverage,interval_95_width
intact_patch_formation_pass,model_supported,,15,0.22757739785974446,-0.14269386808298753,0.3036734733198038,-0.48206822425539664,,
intact_patch_formation_pass,retest_priority,,12,0.32769253544668564,-0.32769253544668564,0.4420091447250262,,,
intact_patch_formation_pass,screened_hit_mechanics,,1,0.058536623409708555,-0.058536623409708555,0.058536623409708555,,,
intact_patch_formation_pass,unclassified_historical,,68,0.5262705364641407,0.019996648424753852,0.6475540094860932,-0.7756083577031196,,
intact_patch_formation_pass,unknown_cold_start,,4,0.10519294796478168,-0.10519294796478168,0.19365609245138393,,,
intact_patch_formation_pass,unknown_prior_reversion,,19,0.17083955549321092,-0.17083955549321092,0.3187420173796339,,,
viability_percent,model_supported,,15,21.957305449523066,21.255140225099357,27.81382683791485,-2.983334058378776,0.3333333333333333,33.187984883504626
viability_percent,retest_priority,,12,13.154280714438846,0.17789236809518041,15.1847140440229,0.011843398572319086,0.16666666666666666,22.584516057206937
viability_percent,screened_hit_mechanics,,1,49.356129024002534,49.356129024002534,49.356129024002534,,0.0,3.8843202630665346
viability_percent,unclassified_historical,,68,24.573256135814713,23.89545623054712,28.7731114356864,-1.3892818393407969,0.8529411764705882,129.20311724351157
viability_percent,unknown_cold_start,,4,45.2206616537013,45.2206616537013,45.328049338746055,-210.30543786122118,0.75,98.46678655428039
viability_percent,unknown_prior_reversion,,19,33.853282055043806,33.853282055043806,35.86641400491806,-8.598934366569283,0.8947368421052632,100.11421608093607
