mechanical_definition_id,scope,round_id,provenance_class,formal_cohort,endpoint,endpoint_role,n_proposed,n_evaluated,completion_rate,mae,rmse,bias,r2,interval_95_coverage,interval_95_mean_width,interval_95_median_width,brier_score,accuracy
legacy_curve_maximum_v1,pooled_formal,FORMAL_COHORT,formal_frozen,True,critical_axial_load_N_per_needle,mechanical_secondary,84,0,0.0,,,,,,,,,
,pooled_all,ALL_COMPLETED,mixed,False,intact_patch_formation_pass,gate_secondary,120,119,0.9916666666666667,,,,,,,,0.2884510943024978,0.6554621848739496
,pooled_reconstructed,reconstructed,reconstructed,False,intact_patch_formation_pass,gate_secondary,12,12,1.0,,,,,,,,0.9166666666666666,0.08333333333333333
,pooled_supplementary,migration_frozen_supplementary,migration_frozen_supplementary,False,intact_patch_formation_pass,gate_secondary,12,12,1.0,,,,,,,,0.7128247066743915,0.16666666666666666
,pooled_formal,FORMAL_COHORT,formal_frozen,True,intact_patch_formation_pass,gate_secondary,96,95,0.9895833333333334,,,,,,,,0.15549246044110035,0.7894736842105263
,pooled_all,ALL_COMPLETED,mixed,False,viability_percent,primary,120,119,0.9916666666666667,25.475995817110533,29.812275697615455,23.69163000130653,-1.7260835960794045,0.7142857142857143,99.61821437408244,95.10873555306925,,
,pooled_reconstructed,reconstructed,reconstructed,False,viability_percent,primary,12,12,1.0,21.38945887553776,25.38100200741181,21.18889174686328,-1.6853063968116513,1.0,232.8665884205615,233.96182674402996,,
,pooled_supplementary,migration_frozen_supplementary,migration_frozen_supplementary,False,viability_percent,primary,12,12,1.0,15.374186582161945,18.591959050472962,14.862607612421082,-0.4369633854784072,1.0,225.6962171941027,224.85043223110284,,
,pooled_formal,FORMAL_COHORT,formal_frozen,True,viability_percent,primary,96,95,0.9895833333333334,27.268207965723754,31.436748130908814,25.12301029309542,-2.384447548492185,0.6421052631578947,66.86119834884045,91.83013774474415,,
terminal_force_08mm_after_1N_v1,pooled_all,ALL_COMPLETED,mixed,False,critical_axial_load_N_per_needle,mechanical_secondary,12,0,0.0,,,,,,,,,
terminal_force_08mm_after_1N_v1,pooled_reconstructed,reconstructed,reconstructed,False,critical_axial_load_N_per_needle,mechanical_secondary,0,0,,,,,,,,,,
terminal_force_08mm_after_1N_v1,pooled_supplementary,migration_frozen_supplementary,migration_frozen_supplementary,False,critical_axial_load_N_per_needle,mechanical_secondary,0,0,,,,,,,,,,
terminal_force_08mm_after_1N_v1,pooled_formal,FORMAL_COHORT,formal_frozen,True,critical_axial_load_N_per_needle,mechanical_secondary,12,0,0.0,,,,,,,,,
