endpoint,mechanical_definition_id,round_id,variant,baseline,n,mae_change,mean_absolute_prediction_change
viability_percent,,ROUND_005,sens_noise_1pp,sens_baseline,12,0.0,0.0
viability_percent,,ROUND_005,sens_noise_3pp,sens_baseline,12,0.056213524077541877,0.12117501337834143
viability_percent,,ROUND_005,sens_noise_5pp,sens_baseline,12,0.18047520444854825,0.3187579029138862
viability_percent,,ROUND_005,sens_noise_10pp,sens_baseline,12,0.6762467738571765,0.9363659607505136
viability_percent,,ROUND_005,sens_logit,sens_baseline,12,-0.06796939218770248,0.8158997174760912
viability_percent,,ROUND_006,sens_mixed_sources,sens_baseline,12,11.097406540563508,11.822115135922028
viability_percent,,ROUND_006,sens_bounds,sens_baseline,12,-2.6436684373627806,8.58241391758902
viability_percent,,ROUND_006,sens_matern15,sens_baseline,12,-0.2857176248013751,0.28983886441738144
viability_percent,,ROUND_006,sens_rbf,sens_baseline,12,0.543710475031471,0.5635057617401725
viability_percent,,ROUND_006,sens_length_short,sens_baseline,12,-1.4348373571269875,5.040626414924059
viability_percent,,ROUND_006,sens_length_long,sens_baseline,12,1.3176945741312451,4.397194293655754
viability_percent,,ROUND_006,sens_length_learned,sens_baseline,12,1.081521165375289,1.4632742905759786
viability_percent,,ROUND_006,sens_ard_learned,sens_baseline,12,-1.1825766733065564,4.1222252965261275
viability_percent,,ROUND_006,sens_amplitude_learned,sens_baseline,12,-0.004700307060609532,0.004708268219204874
viability_percent,,ROUND_006,sens_mean_median,sens_baseline,12,-0.17296266327765863,0.23437951834703505
viability_percent,,ROUND_006,sens_recent3,sens_baseline,12,-2.9132954446628396,5.477973630718492
viability_percent,,ROUND_006,sens_noise_learned,sens_baseline,12,-0.2366723130157915,0.23708087721817397
viability_percent,,ROUND_006,sens_bounds_learned,sens_baseline,12,-0.8108446845652075,4.0547423659641675
viability_percent,,ROUND_006,sens_bounds_learned_wide,sens_bounds_learned,12,-1.5364726380084903e-08,1.3056031556805496e-06
viability_percent,,ROUND_006,sens_bounds_learned_restarts,sens_bounds_learned,12,-1.1649536446611819e-08,1.3302286397028535e-06
viability_percent,,ROUND_006,sens_noise_1pp,sens_baseline,12,0.0,0.0
viability_percent,,ROUND_006,sens_noise_3pp,sens_baseline,12,-0.28001788124004534,0.28050280569680036
viability_percent,,ROUND_006,sens_noise_5pp,sens_baseline,12,-0.7828213990141144,0.7842203184571632
viability_percent,,ROUND_006,sens_noise_10pp,sens_baseline,12,-2.4998813290555617,2.504674613502957
viability_percent,,ROUND_006,sens_logit,sens_baseline,12,-1.001134438234537,1.1170922624102833
viability_percent,,ROUND_007,sens_mixed_sources,sens_baseline,12,7.500113582591917,12.833148718823999
viability_percent,,ROUND_007,sens_bounds,sens_baseline,12,-5.552932645070047,6.597375210191569
viability_percent,,ROUND_007,sens_matern15,sens_baseline,12,-0.2441671404923209,0.2752764033358126
viability_percent,,ROUND_007,sens_rbf,sens_baseline,12,0.629090209814283,0.6501483101973916
viability_percent,,ROUND_007,sens_length_short,sens_baseline,12,1.190319578222402,3.3727219402715236
viability_percent,,ROUND_007,sens_length_long,sens_baseline,12,-1.6927009448569432,3.322024567357675
viability_percent,,ROUND_007,sens_length_learned,sens_baseline,12,-0.5320342923309749,0.9451954874277053
viability_percent,,ROUND_007,sens_ard_learned,sens_baseline,12,-1.9969577850799887,2.819127850122259
viability_percent,,ROUND_007,sens_amplitude_learned,sens_baseline,12,0.005440467602156218,0.005783791103296447
viability_percent,,ROUND_007,sens_mean_median,sens_baseline,12,-0.010216112089150187,0.014819481024984427
viability_percent,,ROUND_007,sens_recent3,sens_baseline,12,-2.1765619330782293,7.091937407917915
viability_percent,,ROUND_007,sens_noise_learned,sens_baseline,12,-1.134024822837894,1.280444463491092
viability_percent,,ROUND_007,sens_bounds_learned,sens_baseline,12,-0.16866704507111052,0.7760202031667434
viability_percent,,ROUND_007,sens_bounds_learned_wide,sens_bounds_learned,12,-3.553582633486485e-06,5.894865097388902e-06
viability_percent,,ROUND_007,sens_bounds_learned_restarts,sens_bounds_learned,12,0.0,0.0
viability_percent,,ROUND_007,sens_noise_1pp,sens_baseline,12,0.0,0.0
viability_percent,,ROUND_007,sens_noise_3pp,sens_baseline,12,-0.2603058884830798,0.27731461558019593
viability_percent,,ROUND_007,sens_noise_5pp,sens_baseline,12,-0.688398235417008,0.757604350127513
viability_percent,,ROUND_007,sens_noise_10pp,sens_baseline,12,-1.4994306787514091,2.174578215196421
