endpoint,mechanical_definition_id,variant,cohort,n,mae,bias,rmse,r2,interval_95_coverage,interval_95_width,spearman,future_interval_95_coverage,future_interval_95_width
viability_percent,,campaign_bounds_learned,pooled,84,14.473081010636893,9.18979308300029,17.832903278162224,-0.03967688607796682,0.7261904761904762,47.511324463130734,0.5304167784657338,,
viability_percent,,campaign_bounds_learned,ROUND_003,12,6.062815799872751,-4.162286712096848,7.631062962546035,0.3581162309307082,0.9166666666666666,47.43069421489859,0.5779343363791357,,
viability_percent,,campaign_bounds_learned,ROUND_004,12,15.808528647871702,9.63801458632113,21.356795353208877,-0.26780218519850285,0.6666666666666666,42.0607636033166,0.09090909090909093,,
viability_percent,,campaign_bounds_learned,ROUND_005,12,17.482481853573937,16.299300615816488,21.170312502126805,-0.37447690532890765,0.5833333333333334,43.82931026139317,0.5734265734265735,,
viability_percent,,campaign_bounds_learned,ROUND_006,12,18.766123273877557,10.018945848151809,20.196219511450447,-0.4927091290273453,0.6666666666666666,44.681074257539514,0.3356643356643357,,
viability_percent,,campaign_bounds_learned,ROUND_007,12,14.518984341937392,11.431745155435939,17.06202231856898,0.1010343853074348,0.75,47.85104951458347,0.7762237762237763,,
viability_percent,,campaign_bounds_learned,ROUND_008,12,17.296670318053927,15.206666179143014,18.883720171694282,-1.7510986497081928,0.75,54.64393325033765,0.6713286713286714,,
viability_percent,,campaign_bounds_learned,ROUND_009,12,11.375962839270985,5.896165908230497,14.420968708316336,0.2701704123269172,0.75,52.0824461398461,0.6783216783216784,,
viability_percent,,campaign_bounds_learned,role:cold_start_graduation,6,23.805018827556523,23.805018827556523,24.60725249630468,-16.181307627936174,1.0,67.06127234963309,0.2571428571428572,,
viability_percent,,campaign_bounds_learned,role:rescue_candidate,11,11.884937362593782,3.5828303539474144,13.338759713423327,0.4055408347679691,0.6363636363636364,31.871366468098426,0.6636363636363638,,
viability_percent,,campaign_bounds_learned,role:retest_priority,9,12.768564828725491,-4.56456315675025,14.411869712936674,0.036995315949493235,0.0,3.782304469240717,0.7666666666666667,,
viability_percent,,campaign_bounds_learned,role:screening_candidate,58,14.263056853122391,10.875559319379583,18.219673970290764,-0.14730049410675616,0.8275862068965517,55.240652576429895,0.48187397147985545,,
viability_percent,,campaign_bounds_learned,support:model_supported,11,9.874060667568852,8.658645315961525,12.539932285780798,-0.021195776808170086,0.7272727272727273,43.57083759147337,0.5636363636363637,,
viability_percent,,campaign_bounds_learned,support:observed_retest,6,12.741095673042627,-0.4350931650797663,14.602965083874091,0.18076845025235244,0.0,3.7202923186202312,0.6571428571428573,,
viability_percent,,campaign_bounds_learned,support:unclassified_historical,48,14.529987393798985,7.948493584548146,18.509559987271338,-0.09176123683949333,0.7083333333333334,44.50046058428697,0.4236979945653493,,
viability_percent,,campaign_bounds_learned,support:unknown_cold_start,4,25.789337440068575,25.789337440068575,25.9824340015976,-68.42825971606534,1.0,71.63810528449578,0.0,,
viability_percent,,campaign_bounds_learned,support:unknown_prior_reversion,15,15.338721256624012,12.974869177889392,17.4327011068567,-0.857182252144864,1.0,71.118383886753,0.38928571428571423,,
viability_percent,,campaign_existing,pooled,84,15.184447995893477,10.40611743486287,18.39810153530085,-0.1066245571209814,0.7857142857142857,52.762125540567936,0.5852097845755969,,
viability_percent,,campaign_existing,ROUND_003,12,7.150968470278478,0.205876513672511,8.15499178936566,0.26695037383760956,0.9166666666666666,57.67390440808251,0.6164632921377448,,
viability_percent,,campaign_existing,ROUND_004,12,16.997666821074237,9.361785590286162,22.0480493143232,-0.3512000944158633,0.75,51.42734629548727,-0.06993006993006995,,
viability_percent,,campaign_existing,ROUND_005,12,17.37269497159691,15.218229307727801,20.43260265502022,-0.2803546656135789,0.75,57.57160489726606,0.8126107032724816,,
viability_percent,,campaign_existing,ROUND_006,12,19.57696795844276,13.309565595862304,21.636458987991244,-0.7131973572488555,0.8333333333333334,52.18531951997829,0.3152369107522558,,
viability_percent,,campaign_existing,ROUND_007,12,14.687651387008517,11.540316845308167,17.1939269193019,0.08708105037720337,0.8333333333333334,47.182370344110154,0.6690027772631207,,
viability_percent,,campaign_existing,ROUND_008,12,19.33709395618693,17.24653444871184,20.85630551177133,-2.3558752731542763,0.6666666666666666,53.76159818569234,0.5804195804195805,,
viability_percent,,campaign_existing,ROUND_009,12,11.168092406666474,5.960513742471307,14.162146721723479,0.29613272203799,0.75,49.532735133358905,0.7482517482517484,,
viability_percent,,campaign_existing,role:cold_start_graduation,6,25.37872308655344,25.37872308655344,26.043509515375373,-18.24549021556656,1.0,70.33638548656567,-0.3714285714285715,,
viability_percent,,campaign_existing,role:rescue_candidate,11,11.027534770812741,3.262562813723527,13.347690926012268,0.4047445060620902,0.8181818181818182,40.85600140619781,0.6090909090909091,,
viability_percent,,campaign_existing,role:retest_priority,9,12.775151500056523,-4.5648791982597,14.424302371458301,0.03533309267573548,0.0,3.781854402082475,0.7666666666666667,,
viability_percent,,campaign_existing,role:screening_candidate,58,15.29210426131521,12.535124962802398,18.81455396286859,-0.22344325778462326,0.8793103448275862,60.80254357588612,0.6020056601451951,,
viability_percent,,campaign_existing,support:model_supported,11,10.314282338306954,9.392505895591462,12.962130639107224,-0.09111723479091438,0.7272727272727273,37.554860016583696,0.5363636363636364,,
viability_percent,,campaign_existing,support:observed_retest,6,12.743470786212782,-0.42806233351754663,14.61053241628978,0.17991917016344716,0.0,3.717322951435051,0.6571428571428573,,
viability_percent,,campaign_existing,support:unclassified_historical,48,15.274574555348098,9.523864251887195,18.962119992556314,-0.14580117162533357,0.8125,54.71454378020354,0.5791830644011323,,
viability_percent,,campaign_existing,support:unknown_cold_start,4,26.028921803481374,26.028921803481374,26.21931490357791,-69.69998034216802,1.0,71.70273598810797,-0.7378647873726218,,
viability_percent,,campaign_existing,support:unknown_prior_reversion,15,16.55202902305096,14.1402334915713,18.788995092085802,-1.1574078900269513,1.0,72.23347347429825,0.15357142857142855,,
viability_percent,,campaign_existing_adaptive,pooled,84,14.90461293670551,10.443851420087576,18.249091162252643,-0.08877154521714092,0.8333333333333334,54.926500558313755,0.5907682650553893,,
viability_percent,,campaign_existing_adaptive,ROUND_003,12,7.110679251792483,0.28934568152353474,8.189331690269132,0.26076376999483586,1.0,58.997397020847096,0.6164632921377448,,
viability_percent,,campaign_existing_adaptive,ROUND_004,12,16.699077303447492,9.61556335068085,21.97842568503456,-0.34267989231035845,0.75,51.96387798952176,-0.06993006993006995,,
viability_percent,,campaign_existing_adaptive,ROUND_005,12,17.55317017604546,15.221410235760251,20.593718509300036,-0.3006260665407632,0.75,58.16575644624666,0.8126107032724816,,
viability_percent,,campaign_existing_adaptive,ROUND_006,12,18.794146559428654,13.616016831611153,21.10933687622935,-0.6307380530295796,0.8333333333333334,55.17042620101773,0.3152369107522558,,
viability_percent,,campaign_existing_adaptive,ROUND_007,12,13.999253151591498,11.159988891636425,16.909724429679684,0.1170113336158558,1.0,50.94195666082995,0.5989501304292861,,
viability_percent,,campaign_existing_adaptive,ROUND_008,12,19.404753720717462,17.572076659053685,20.84888029303206,-2.353486194963588,0.6666666666666666,56.790864100869214,0.5594405594405596,,
viability_percent,,campaign_existing_adaptive,ROUND_009,12,10.771210393915558,5.632558290347139,13.81191563311583,0.33051564780260645,0.8333333333333334,52.45522548886379,0.7692307692307694,,
viability_percent,,campaign_existing_adaptive,role:cold_start_graduation,6,25.381318757800006,25.381318757800006,26.046015997631024,-18.24919484692468,1.0,70.33639093473727,-0.3714285714285715,,
viability_percent,,campaign_existing_adaptive,role:rescue_candidate,11,10.834189602660468,3.2929284841953503,13.331820436509298,0.40615918967309417,0.8181818181818182,43.01529981690046,0.5909090909090909,,
viability_percent,,campaign_existing_adaptive,role:retest_priority,9,11.175930061625163,-3.651357121044285,13.258077771277485,0.18501640023119892,0.4444444444444444,17.90429385108019,0.75,,
viability_percent,,campaign_existing_adaptive,role:screening_candidate,58,15.171381344009854,12.441993232824242,18.73913130663715,-0.21365398651030287,0.8793103448275862,61.33621997662593,0.5987141626676511,,
viability_percent,,campaign_existing_adaptive,support:model_supported,11,9.798054942943269,8.827859101318909,12.315284285918068,0.015065136226824816,0.7272727272727273,40.58884772096116,0.5181818181818182,,
viability_percent,,campaign_existing_adaptive,support:observed_retest,6,11.547203475791946,-0.260344064920627,14.108052720454687,0.2353569887663789,0.5,17.564477312115457,0.6,,
viability_percent,,campaign_existing_adaptive,support:unclassified_historical,48,15.039268322678522,9.685584024893947,18.84026071024666,-0.1311216045201098,0.8333333333333334,56.07436441440831,0.5753290814983695,,
viability_percent,,campaign_existing_adaptive,support:unknown_cold_start,4,26.033258211542005,26.033258211542005,26.22312712935335,-69.72054105341991,1.0,71.70275588622374,-0.7378647873726218,,
viability_percent,,campaign_existing_adaptive,support:unknown_prior_reversion,15,16.593849941426573,14.179871168086317,18.838687579881782,-1.1688346569579808,1.0,72.23875617723965,0.1464285714285714,,
