sample_index,time_s,displacement_mm,force_N,analysis_window,formulation_number,replicate_id,source_file_hash
0,0.0,0.0,-0.0003,False,8,mechanical_001,c8282515e45af16f46557ffcab28ab3b7fdb7fd76b8f5e30f908932255d128d2
1,0.025,0.0,-0.0014,False,8,mechanical_001,c8282515e45af16f46557ffcab28ab3b7fdb7fd76b8f5e30f908932255d128d2
2,0.05,0.0,-0.0007,False,8,mechanical_001,c8282515e45af16f46557ffcab28ab3b7fdb7fd76b8f5e30f908932255d128d2
3,0.075,0.0,-0.0031,False,8,mechanical_001,c8282515e45af16f46557ffcab28ab3b7fdb7fd76b8f5e30f908932255d128d2
4,0.1,-0.0007,-0.0028,False,8,mechanical_001,c8282515e45af16f46557ffcab28ab3b7fdb7fd76b8f5e30f908932255d128d2
5,0.125,-0.0013,-0.0021,False,8,mechanical_001,c8282515e45af16f46557ffcab28ab3b7fdb7fd76b8f5e30f908932255d128d2
6,0.15,-0.0015,-0.0023,False,8,mechanical_001,c8282515e45af16f46557ffcab28ab3b7fdb7fd76b8f5e30f908932255d128d2
7,0.175,-0.0014,-0.0008,False,8,mechanical_001,c8282515e45af16f46557ffcab28ab3b7fdb7fd76b8f5e30f908932255d128d2
8,0.2,-0.0013,-0.0011,False,8,mechanical_001,c8282515e45af16f46557ffcab28ab3b7fdb7fd76b8f5e30f908932255d128d2
9,0.225,-0.0013,-0.0022,False,8,mechanical_001,c8282515e45af16f46557ffcab28ab3b7fdb7fd76b8f5e30f908932255d128d2
10,0.25,-0.0012,-0.0017,False,8,mechanical_001,c8282515e45af16f46557ffcab28ab3b7fdb7fd76b8f5e30f908932255d128d2
11,0.275,-0.0011,-0.0015,False,8,mechanical_001,c8282515e45af16f46557ffcab28ab3b7fdb7fd76b8f5e30f908932255d128d2
12,0.3,-0.001,-0.002,False,8,mechanical_001,c8282515e45af16f46557ffcab28ab3b7fdb7fd76b8f5e30f908932255d128d2
13,0.325,-0.0008,-0.0011,False,8,mechanical_001,c8282515e45af16f46557ffcab28ab3b7fdb7fd76b8f5e30f908932255d128d2
14,0.35,-0.0006,-0.0017,False,8,mechanical_001,c8282515e45af16f46557ffcab28ab3b7fdb7fd76b8f5e30f908932255d128d2
15,0.375,-0.0004,0.0001,False,8,mechanical_001,c8282515e45af16f46557ffcab28ab3b7fdb7fd76b8f5e30f908932255d128d2
