formulation_id,batch_id,actual,predicted,predicted_std,cv_fold,panel,endpoint,paired_rows_cumulative,pareto_points_cumulative,normalized_hypervolume,igd,viability_r2,load_r2
legacy_lit_2,legacy_literature,12.5,32.72612320245337,6.664501873569587,1.0,all_cv,viability_percent,,,,,,
legacy_lit_7,legacy_literature,82.14,63.18159674775069,20.321611134149446,1.0,all_cv,viability_percent,,,,,,
legacy_lit_10,legacy_literature,63.17777777777778,76.43127639448015,14.672622506203172,1.0,all_cv,viability_percent,,,,,,
legacy_lit_13,legacy_literature,86.8,34.90332531234377,11.733623693425498,1.0,all_cv,viability_percent,,,,,,
legacy_lit_15,legacy_literature,89.8,32.88905337045259,18.429697739819186,1.0,all_cv,viability_percent,,,,,,
legacy_lit_22,legacy_literature,82.25,57.906675607499565,3.6192576354187618,1.0,all_cv,viability_percent,,,,,,
legacy_lit_32,legacy_literature,20.0,34.90332531234377,11.733623693425498,1.0,all_cv,viability_percent,,,,,,
legacy_lit_33,legacy_literature,22.0,43.38936825267441,11.585060885781473,1.0,all_cv,viability_percent,,,,,,
legacy_lit_35,legacy_literature,80.0,57.906675607499565,3.6192576354187618,1.0,all_cv,viability_percent,,,,,,
legacy_lit_38,legacy_literature,100.0,74.70430287039333,14.15768982903063,1.0,all_cv,viability_percent,,,,,,
legacy_lit_41,legacy_literature,51.5,45.03163520312694,22.016101572918803,1.0,all_cv,viability_percent,,,,,,
legacy_lit_47,legacy_literature,68.0,57.430713086219754,21.661871724250684,1.0,all_cv,viability_percent,,,,,,
legacy_lit_51,legacy_literature,64.1,53.60247349694456,25.55554404613708,1.0,all_cv,viability_percent,,,,,,
legacy_lit_56,legacy_literature,63.333333333333336,50.73672261737647,17.28155355959459,1.0,all_cv,viability_percent,,,,,,
legacy_lit_63,legacy_literature,80.0,72.95688183681212,13.645628330076065,1.0,all_cv,viability_percent,,,,,,
legacy_lit_76,legacy_literature,21.0,38.36737552338295,16.774018898331608,1.0,all_cv,viability_percent,,,,,,
legacy_lit_84,legacy_literature,82.5,53.94180487217649,25.615066798933483,1.0,all_cv,viability_percent,,,,,,
legacy_lit_89,legacy_literature,55.5,54.259962595852876,23.627654895392617,1.0,all_cv,viability_percent,,,,,,
legacy_lit_93,legacy_literature,61.8,53.01562419506603,25.61733358524639,1.0,all_cv,viability_percent,,,,,,
legacy_lit_98,legacy_literature,72.5,51.522795430215254,25.34091533091626,1.0,all_cv,viability_percent,,,,,,
legacy_lit_104,legacy_literature,67.0,32.724254303153515,6.669112809652989,1.0,all_cv,viability_percent,,,,,,
legacy_lit_116,legacy_literature,85.6,74.70430287039333,14.15768982903063,1.0,all_cv,viability_percent,,,,,,
legacy_lit_121,legacy_literature,79.8,52.34113544229307,25.66933401446373,1.0,all_cv,viability_percent,,,,,,
legacy_lit_134,legacy_literature,73.0,36.481889051597335,12.278942984929358,1.0,all_cv,viability_percent,,,,,,
legacy_lit_195,legacy_literature,58.0,32.72554077278318,6.668001318524415,1.0,all_cv,viability_percent,,,,,,
legacy_lit_204,legacy_literature,67.0,44.46157437278715,11.605549116383484,1.0,all_cv,viability_percent,,,,,,
legacy_lit_209,legacy_literature,70.0,28.621181583797032,21.577966458338093,1.0,all_cv,viability_percent,,,,,,
legacy_lit_236,legacy_literature,83.4,53.2333280125709,25.67064080567273,1.0,all_cv,viability_percent,,,,,,
legacy_lit_254,legacy_literature,80.0,47.79650305528469,16.18241985479872,1.0,all_cv,viability_percent,,,,,,
legacy_lit_259,legacy_literature,7.0,32.080715895678615,19.699985692292884,1.0,all_cv,viability_percent,,,,,,
legacy_lit_274,legacy_literature,18.0,46.068403971270435,25.260913311288373,1.0,all_cv,viability_percent,,,,,,
legacy_lit_281,legacy_literature,74.0,27.886777776722568,15.42426558399454,1.0,all_cv,viability_percent,,,,,,
legacy_lit_299,legacy_literature,62.666666666666664,32.72554077278318,6.668001318524415,1.0,all_cv,viability_percent,,,,,,
legacy_lit_309,legacy_literature,99.0,75.43748216264859,13.67687712301854,1.0,all_cv,viability_percent,,,,,,
legacy_lit_315,legacy_literature,10.0,53.88456695922552,24.664708039977416,1.0,all_cv,viability_percent,,,,,,
