round_id,round_number,phase,provenance,panel,series,formulation_id,value,lower,upper,count_pass,count_fail
ROUND_009,9,mechanics_bootstrap,formal_frozen,observed_viability,individual_formulation,v2_058f0d84ea0e,37.480000000000004,,,,
ROUND_009,9,mechanics_bootstrap,formal_frozen,observed_viability,individual_formulation,v2_4d49c0b641bb,3.4425,,,,
ROUND_009,9,mechanics_bootstrap,formal_frozen,observed_viability,individual_formulation,v2_6f20e63adb1d,59.495,,,,
ROUND_009,9,mechanics_bootstrap,formal_frozen,observed_viability,individual_formulation,v2_7371aa062562,44.63,,,,
ROUND_009,9,mechanics_bootstrap,formal_frozen,observed_viability,individual_formulation,v2_74bd7b4dd0a7,36.2425,,,,
ROUND_009,9,mechanics_bootstrap,formal_frozen,observed_viability,individual_formulation,v2_958a475d561d,57.575,,,,
ROUND_009,9,mechanics_bootstrap,formal_frozen,observed_viability,individual_formulation,v2_a4c0156ecbf5,31.7125,,,,
ROUND_009,9,mechanics_bootstrap,formal_frozen,observed_viability,individual_formulation,v2_a5836ff741f8,56.879999999999995,,,,
ROUND_009,9,mechanics_bootstrap,formal_frozen,observed_viability,individual_formulation,v2_e4e4fdaec9b1,40.82,,,,
ROUND_009,9,mechanics_bootstrap,formal_frozen,observed_viability,individual_formulation,v2_e520c20c7441,28.485,,,,
ROUND_009,9,mechanics_bootstrap,formal_frozen,observed_viability,individual_formulation,v2_ee0e6b6d09bd,19.58,,,,
ROUND_009,9,mechanics_bootstrap,formal_frozen,observed_viability,individual_formulation,v2_f87d5e9bf5a4,14.515,,,,
ROUND_009,9,mechanics_bootstrap,formal_frozen,observed_viability,median_iqr,,36.86125,26.25875,47.6925,,
ROUND_009,9,mechanics_bootstrap,formal_frozen,prospective_performance,mae,,22.30834567647157,,,,
ROUND_009,9,mechanics_bootstrap,formal_frozen,prospective_performance,bias,,18.720564181244274,,,,
ROUND_009,9,mechanics_bootstrap,formal_frozen,prospective_performance,interval_95_coverage,,0.5833333333333334,,,,
ROUND_009,9,mechanics_bootstrap,formal_frozen,feasibility_mechanics,intact_pass_proportion,,0.9166666666666666,0.6461140782014047,0.9851352905492264,11.0,1.0
ROUND_009,9,mechanics_bootstrap,formal_frozen,feasibility_mechanics,mechanical_measurement_count,,6.0,,,,
