sample_index,time_s,displacement_mm,force_N,analysis_window,formulation_number,replicate_id,source_file_hash
0,0.0,0.0,0.0006,False,9,mechanical_002,fecfdc272e9d423dec3c10476cb881c08597fc34b81570d5d912e569c15d90d7
1,0.025,0.0,0.0002,False,9,mechanical_002,fecfdc272e9d423dec3c10476cb881c08597fc34b81570d5d912e569c15d90d7
2,0.05,0.0,-0.0004,False,9,mechanical_002,fecfdc272e9d423dec3c10476cb881c08597fc34b81570d5d912e569c15d90d7
3,0.075,0.0,-0.0002,False,9,mechanical_002,fecfdc272e9d423dec3c10476cb881c08597fc34b81570d5d912e569c15d90d7
4,0.1,0.0002,-0.0003,False,9,mechanical_002,fecfdc272e9d423dec3c10476cb881c08597fc34b81570d5d912e569c15d90d7
5,0.125,0.0007,-0.0009,False,9,mechanical_002,fecfdc272e9d423dec3c10476cb881c08597fc34b81570d5d912e569c15d90d7
6,0.15,0.0008,-0.0008,False,9,mechanical_002,fecfdc272e9d423dec3c10476cb881c08597fc34b81570d5d912e569c15d90d7
7,0.175,0.0009,0.0003,False,9,mechanical_002,fecfdc272e9d423dec3c10476cb881c08597fc34b81570d5d912e569c15d90d7
8,0.2,0.0009,0.0002,False,9,mechanical_002,fecfdc272e9d423dec3c10476cb881c08597fc34b81570d5d912e569c15d90d7
9,0.225,0.001,0.0015,False,9,mechanical_002,fecfdc272e9d423dec3c10476cb881c08597fc34b81570d5d912e569c15d90d7
10,0.25,0.0011,0.0006,False,9,mechanical_002,fecfdc272e9d423dec3c10476cb881c08597fc34b81570d5d912e569c15d90d7
11,0.275,0.0013,-0.0011,False,9,mechanical_002,fecfdc272e9d423dec3c10476cb881c08597fc34b81570d5d912e569c15d90d7
12,0.3,0.0015,-0.002,False,9,mechanical_002,fecfdc272e9d423dec3c10476cb881c08597fc34b81570d5d912e569c15d90d7
13,0.325,0.0017,-0.0008,False,9,mechanical_002,fecfdc272e9d423dec3c10476cb881c08597fc34b81570d5d912e569c15d90d7
14,0.35,0.002,0.001,False,9,mechanical_002,fecfdc272e9d423dec3c10476cb881c08597fc34b81570d5d912e569c15d90d7
15,0.375,0.0023,0.0002,False,9,mechanical_002,fecfdc272e9d423dec3c10476cb881c08597fc34b81570d5d912e569c15d90d7
16,0.4,0.0027,-0.0009,False,9,mechanical_002,fecfdc272e9d423dec3c10476cb881c08597fc34b81570d5d912e569c15d90d7
17,0.425,0.0031,0.0,False,9,mechanical_002,fecfdc272e9d423dec3c10476cb881c08597fc34b81570d5d912e569c15d90d7
18,0.45,0.0035,0.0008,False,9,mechanical_002,fecfdc272e9d423dec3c10476cb881c08597fc34b81570d5d912e569c15d90d7
19,0.475,0.004,0.0011,False,9,mechanical_002,fecfdc272e9d423dec3c10476cb881c08597fc34b81570d5d912e569c15d90d7
20,0.5,0.0044,-0.0002,False,9,mechanical_002,fecfdc272e9d423dec3c10476cb881c08597fc34b81570d5d912e569c15d90d7
21,0.525,0.0049,0.0,False,9,mechanical_002,fecfdc272e9d423dec3c10476cb881c08597fc34b81570d5d912e569c15d90d7
22,0.55,0.0053,0.0005,False,9,mechanical_002,fecfdc272e9d423dec3c10476cb881c08597fc34b81570d5d912e569c15d90d7
23,0.575,0.0057,0.0001,False,9,mechanical_002,fecfdc272e9d423dec3c10476cb881c08597fc34b81570d5d912e569c15d90d7
