panel_row,stage,label,iteration_dir,x_feature,x_value,predicted_mean,predicted_std,ucb,is_selected,training_points,anchor_mode,acquisition,kappa
1,0,literature_only,literature_only,ectoin_M,0.15553286975111913,65.114146,24.194613,77.211452,False,216,median_profile,ucb,0.5
1,0,literature_only,literature_only,ectoin_M,0.15906770770000822,65.116758,24.257493,77.245504,False,216,median_profile,ucb,0.5
1,0,literature_only,literature_only,ectoin_M,0.16260254564889728,65.115707,24.316789,77.274101,False,216,median_profile,ucb,0.5
1,0,literature_only,literature_only,ectoin_M,0.16613738359778635,65.111258,24.372625,77.29757,False,216,median_profile,ucb,0.5
1,0,literature_only,literature_only,ectoin_M,0.16967222154667544,65.103676,24.425123,77.316238,False,216,median_profile,ucb,0.5
1,0,literature_only,literature_only,ectoin_M,0.1732070594955645,65.093225,24.474411,77.330431,False,216,median_profile,ucb,0.5
1,0,literature_only,literature_only,ectoin_M,0.17674189744445357,65.080163,24.520615,77.340471,False,216,median_profile,ucb,0.5
1,0,literature_only,literature_only,ectoin_M,0.18027673539334263,65.064744,24.563861,77.346674,False,216,median_profile,ucb,0.5
1,0,literature_only,literature_only,ectoin_M,0.18381157334223172,65.047211,24.604278,77.34935,False,216,median_profile,ucb,0.5
1,0,literature_only,literature_only,ectoin_M,0.18734641129112078,65.027801,24.641993,77.348798,False,216,median_profile,ucb,0.5
1,0,literature_only,literature_only,ectoin_M,0.19088124924000985,65.006741,24.677136,77.345309,False,216,median_profile,ucb,0.5
1,0,literature_only,literature_only,ectoin_M,0.1944160871888989,64.984245,24.709832,77.339161,False,216,median_profile,ucb,0.5
1,0,literature_only,literature_only,ectoin_M,0.197950925137788,64.960519,24.740206,77.330622,False,216,median_profile,ucb,0.5
1,0,literature_only,literature_only,ectoin_M,0.20148576308667707,64.935755,24.768383,77.319947,False,216,median_profile,ucb,0.5
1,0,literature_only,literature_only,ectoin_M,0.20502060103556613,64.910135,24.794484,77.307377,False,216,median_profile,ucb,0.5
1,0,literature_only,literature_only,ectoin_M,0.20855543898445522,64.883826,24.818628,77.29314,False,216,median_profile,ucb,0.5
1,0,literature_only,literature_only,ectoin_M,0.21209027693334428,64.856988,24.84093,77.277453,False,216,median_profile,ucb,0.5
1,0,literature_only,literature_only,ectoin_M,0.21562511488223335,64.829765,24.861502,77.260516,False,216,median_profile,ucb,0.5
1,0,literature_only,literature_only,ectoin_M,0.2191599528311224,64.802292,24.880453,77.242518,False,216,median_profile,ucb,0.5
