evaluation_policy_version,round_id,round_number,provenance_class,formal_cohort,active_phase,candidate_id,formulation_id,recommendation_type,selection_rank,endpoint,endpoint_role,metric_type,prediction_mean,prediction_std,observed_mean,observed_unit,replicate_count,completed_row_count,evaluation_eligible,exclusion_reason,formal_metric_eligible,formal_exclusion_reason,signed_error,absolute_error,squared_error,standardized_residual,interval_95_lower,interval_95_upper,interval_95_covered,brier_score,classification_correct
prospective_evaluation_v2,ROUND_005,5,formal_frozen,True,screening_only,rescue_000003,v2_1be28fc1c3ad,rescue_candidate,1,viability_percent,primary,continuous,59.502151753493344,7.003852076147249,53.3425,percent,4,4,True,,True,,6.159651753493343,6.159651753493343,37.94130972431361,0.8794662832002168,45.774601684244736,73.22970182274196,True,,
prospective_evaluation_v2,ROUND_005,5,formal_frozen,True,screening_only,rescue_000003,v2_1be28fc1c3ad,rescue_candidate,1,intact_patch_formation_pass,gate_secondary,binary,0.5166652093841042,,0.0,binary,1,4,True,,True,,0.5166652093841042,0.5166652093841042,0.26694293858792023,,,,,0.26694293858792023,False
prospective_evaluation_v2,ROUND_005,5,formal_frozen,True,screening_only,rescue_000003,v2_1be28fc1c3ad,rescue_candidate,1,critical_axial_load_N_per_needle,mechanical_secondary,continuous,0.0,0.0,,,0,4,False,not_measured,False,not_measured,,,,,,,,,
prospective_evaluation_v2,ROUND_005,5,formal_frozen,True,screening_only,rescue_000001,v2_d9aaefea702e,rescue_candidate,2,viability_percent,primary,continuous,40.16970249195592,12.393000906289316,9.2925,percent,4,4,True,,True,,30.877202491955916,30.877202491955916,953.4016337292487,2.4915032868500853,15.879420715628857,64.45998426828298,False,,
prospective_evaluation_v2,ROUND_005,5,formal_frozen,True,screening_only,rescue_000001,v2_d9aaefea702e,rescue_candidate,2,intact_patch_formation_pass,gate_secondary,binary,0.8252700898559796,,1.0,binary,1,4,True,,True,,-0.1747299101440204,0.1747299101440204,0.03053054149893744,,,,,0.03053054149893744,True
prospective_evaluation_v2,ROUND_005,5,formal_frozen,True,screening_only,rescue_000001,v2_d9aaefea702e,rescue_candidate,2,critical_axial_load_N_per_needle,mechanical_secondary,continuous,0.0,0.0,,,0,4,False,not_measured,False,not_measured,,,,,,,,,
prospective_evaluation_v2,ROUND_005,5,formal_frozen,True,screening_only,cand_000731,v2_f3bcb989040c,screening_candidate,3,viability_percent,primary,continuous,68.46280394716243,7.843378514314983,59.182500000000005,percent,4,4,True,,True,,9.280303947162423,9.280303947162423,86.12404135171845,1.183202357278168,53.08978205910506,83.8358258352198,True,,
prospective_evaluation_v2,ROUND_005,5,formal_frozen,True,screening_only,cand_000731,v2_f3bcb989040c,screening_candidate,3,intact_patch_formation_pass,gate_secondary,binary,0.6916863760984658,,1.0,binary,1,4,True,,True,,-0.30831362390153416,0.30831362390153416,0.09505729068329666,,,,,0.09505729068329666,True
prospective_evaluation_v2,ROUND_005,5,formal_frozen,True,screening_only,cand_000731,v2_f3bcb989040c,screening_candidate,3,critical_axial_load_N_per_needle,mechanical_secondary,continuous,0.0,0.0,,,0,4,False,not_measured,False,not_measured,,,,,,,,,
prospective_evaluation_v2,ROUND_005,5,formal_frozen,True,screening_only,cand_000302,v2_88865d95334d,screening_candidate,4,viability_percent,primary,continuous,56.99243953767547,24.26243253904828,1.3650000000000002,percent,4,4,True,,True,,55.62743953767547,55.62743953767547,3094.4120295177404,2.292739586113137,9.438071761140847,104.5468073142101,False,,
