endpoint,formulation_id,batch_id,actual,predicted,predicted_std,absolute_error,squared_error
viability_percent,legacy_lit_6,legacy_literature,83.0,69.89120030512387,59.06721572452716,13.108799694876126,171.84062944038442
viability_percent,legacy_lit_8,legacy_literature,69.625,63.73541710190371,57.80981627705296,5.889582898096293,34.68718671354833
viability_percent,legacy_lit_10,legacy_literature,63.17777777777778,72.78007261305476,58.35889237365369,9.602294835276979,92.20406610358694
viability_percent,legacy_lit_21,legacy_literature,68.0,60.65546021510837,57.360790654284884,7.34453978489163,53.94226465185599
viability_percent,legacy_lit_33,legacy_literature,22.0,58.73326373443744,57.275408516320354,36.73326373443744,1349.3326645837371
viability_percent,legacy_lit_34,legacy_literature,50.0,61.89694864969427,57.336302738890275,11.896948649694266,141.53738717346224
viability_percent,legacy_lit_44,legacy_literature,22.0,59.563046545252675,60.28338340537257,37.563046545252675,1410.982465760819
viability_percent,legacy_lit_53,legacy_literature,56.0,51.051394977756,57.31019657456321,4.948605022244003,24.488691666178568
viability_percent,legacy_lit_56,legacy_literature,63.333333333333336,53.83595079327502,60.68604444764847,9.497382540058318,90.2002751122046
viability_percent,legacy_lit_57,legacy_literature,57.666666666666664,58.99474321813048,60.90149567061035,1.3280765514638162,1.7637873265480224
viability_percent,legacy_lit_75,legacy_literature,83.0,55.486708807706876,60.779973698375635,27.513291192293124,756.9811922319144
viability_percent,legacy_lit_78,legacy_literature,36.0,49.444078850281386,59.826842677889324,13.444078850281386,180.74325613258327
viability_percent,legacy_lit_85,legacy_literature,82.6,61.342581536155336,60.20599372204383,21.257418463844658,451.8778397470038
viability_percent,legacy_lit_95,legacy_literature,69.2,60.23284961037729,60.861663799706214,8.96715038962271,80.40978611011072
viability_percent,legacy_lit_98,legacy_literature,72.5,58.56828208920487,61.44251306222515,13.931717910795129,194.0927639459698
viability_percent,legacy_lit_99,legacy_literature,65.0,51.09028047093036,57.312208633307215,13.90971952906964,193.48029737738133
viability_percent,legacy_lit_100,legacy_literature,75.0,51.0903380212448,57.31216675674371,23.909661978755203,571.6719359383321
viability_percent,legacy_lit_104,legacy_literature,67.0,51.0904211974336,57.31233922453015,15.9095788025664,253.11469767507015
viability_percent,legacy_lit_120,legacy_literature,40.0,58.177119902956015,61.06595099578202,18.177119902956015,330.4076879664397
viability_percent,legacy_lit_126,legacy_literature,82.9,70.75894577637132,57.6346310763827,12.141054223628686,147.40519766109196
viability_percent,legacy_lit_135,legacy_literature,60.0,59.335767725322604,61.55641202767686,0.6642322746773957,0.4412045147231072
viability_percent,legacy_lit_138,legacy_literature,0.0,59.335872072987556,61.556412028601954,59.335872072987556,3520.7457146619445
viability_percent,legacy_lit_198,legacy_literature,86.0,51.09022610816882,57.31225510152088,34.90977389183118,1218.6923131787778
viability_percent,legacy_lit_200,legacy_literature,80.0,51.09022610816882,57.31225510152088,28.90977389183118,835.7750264768036
viability_percent,legacy_lit_206,legacy_literature,70.0,59.29079851814332,61.5556818166534,10.709201481856681,114.68699637900133
viability_percent,legacy_lit_208,legacy_literature,78.0,59.286307860238665,61.55553014043135,18.713692139761335,350.20227350176515
viability_percent,legacy_lit_209,legacy_literature,70.0,53.79276166296731,61.01849837963889,16.207238337032692,262.6745745133822
viability_percent,legacy_lit_225,legacy_literature,38.0,54.395289750656275,60.03201491219012,16.395289750656275,268.8055260079747
viability_percent,legacy_lit_262,legacy_literature,80.0,59.33604938271605,61.556412029221555,20.66395061728395,426.99885511354984
viability_percent,legacy_lit_276,legacy_literature,78.0,59.16421637503814,61.5425599026018,18.835783624961863,354.78674476638145
