evaluation_policy_version,mechanical_definition_id,round_id,round_number,provenance_class,formal_cohort,active_phase,candidate_id,formulation_id,recommendation_type,selection_rank,endpoint,endpoint_role,metric_type,prediction_mean,prediction_std,observed_mean,observed_unit,replicate_count,completed_row_count,evaluation_eligible,exclusion_reason,formal_metric_eligible,formal_exclusion_reason,signed_error,absolute_error,squared_error,standardized_residual,interval_95_lower,interval_95_upper,interval_95_covered,brier_score,classification_correct
prospective_evaluation_v2,,ROUND_010,10,formal_frozen,True,mechanics_bootstrap,reference_control,reference_b5a5b7b1176f,campaign_control,1,viability_percent,primary,continuous,,4.148218856047896,35.555,percent,4,7,False,reference_control_not_modeled,False,reference_control_not_modeled,,,,,,,,,
prospective_evaluation_v2,,ROUND_010,10,formal_frozen,True,mechanics_bootstrap,reference_control,reference_b5a5b7b1176f,campaign_control,1,intact_patch_formation_pass,gate_secondary,binary,0.9999841021524034,,1.0,binary,1,7,False,reference_control_not_modeled,False,reference_control_not_modeled,-1.5897847596590964e-05,1.5897847596590964e-05,2.5274155820443307e-10,,,,,2.5274155820443307e-10,True
prospective_evaluation_v2,terminal_force_08mm_after_1N_v1,ROUND_010,10,formal_frozen,True,mechanics_bootstrap,reference_control,reference_b5a5b7b1176f,campaign_control,1,critical_axial_load_N_per_needle,mechanical_secondary,continuous,0.1934242422571832,0.0362981233333927,0.635854,N_per_needle,1,7,False,endpoint_not_active,False,endpoint_not_active,,,,,,,,,
prospective_evaluation_v2,,ROUND_010,10,formal_frozen,True,mechanics_bootstrap,followup_v2_3e8ef993abba,v2_3e8ef993abba,screened_hit_mechanics,2,viability_percent,primary,continuous,65.31612902400254,0.9908980262924818,15.96,percent,4,7,True,,True,,49.356129024002534,49.356129024002534,2436.0274722339855,49.80949372628396,63.37396889246927,67.2582891555358,False,,
prospective_evaluation_v2,,ROUND_010,10,formal_frozen,True,mechanics_bootstrap,followup_v2_3e8ef993abba,v2_3e8ef993abba,screened_hit_mechanics,2,intact_patch_formation_pass,gate_secondary,binary,0.9414633765902914,,1.0,binary,1,7,True,,True,,-0.058536623409708555,0.058536623409708555,0.0034265362802100396,,,,,0.0034265362802100396,True
prospective_evaluation_v2,terminal_force_08mm_after_1N_v1,ROUND_010,10,formal_frozen,True,mechanics_bootstrap,followup_v2_3e8ef993abba,v2_3e8ef993abba,screened_hit_mechanics,2,critical_axial_load_N_per_needle,mechanical_secondary,continuous,0.1935853320754896,0.0362961134013455,0.17870795833333333,N_per_needle,2,7,False,endpoint_not_active,False,endpoint_not_active,,,,,,,,,
prospective_evaluation_v2,,ROUND_010,10,formal_frozen,True,mechanics_bootstrap,retest_v2_6f20e63adb1d,v2_6f20e63adb1d,retest_priority,3,viability_percent,primary,continuous,45.06595846416256,0.5725408536008503,26.384999999999998,percent,4,5,True,,True,,18.680958464162565,18.680958464162565,348.978209139767,32.628166787877966,43.9437783911049,46.188138537220226,False,,
prospective_evaluation_v2,,ROUND_010,10,formal_frozen,True,mechanics_bootstrap,retest_v2_6f20e63adb1d,v2_6f20e63adb1d,retest_priority,3,intact_patch_formation_pass,gate_secondary,binary,0.8445868769181224,,1.0,binary,1,5,True,,True,,-0.1554131230818776,0.1554131230818776,0.024153238826062837,,,,,0.024153238826062837,True
prospective_evaluation_v2,terminal_force_08mm_after_1N_v1,ROUND_010,10,formal_frozen,True,mechanics_bootstrap,retest_v2_6f20e63adb1d,v2_6f20e63adb1d,retest_priority,3,critical_axial_load_N_per_needle,mechanical_secondary,continuous,0.1944856206328837,0.0362085328298315,,,0,5,False,not_measured,False,not_measured,,,,,,,,,
prospective_evaluation_v2,,ROUND_010,10,formal_frozen,True,mechanics_bootstrap,retest_v2_4d49c0b641bb,v2_4d49c0b641bb,retest_priority,4,viability_percent,primary,continuous,3.5171400089573694,0.9992442834123352,2.1550000000000002,percent,4,5,True,,True,,1.3621400089573692,1.3621400089573692,1.8554254040023819,1.3631701792736564,1.5586212134691926,5.475658804445546,True,,
