evidence,strategy,stage,evaluation_subset,batch_id,n,mae,bias,rmse,r2,rank_correlation,future_coverage,future_width
pre_outcome_challenger_after_slate_selection,batch,before_batch,full_slate,ROUND_010,11,18.32750372262522,18.32750372262522,20.979711955261717,-2.8319780267456847,0.5545454545454546,0.8181818181818182,68.3771366925515
pre_outcome_challenger_after_slate_selection,batch,before_batch,matched_nonreference,ROUND_010,8,15.604161894642889,15.604161894642889,16.872957278301964,-1.83564898115963,0.8333333333333335,1.0,75.38284078134049
pre_outcome_challenger_after_slate_selection,batch,reference_conditioned,matched_nonreference,ROUND_010,8,5.560037501401057,-2.8574749240087587,6.817028952340276,0.5371286156711376,0.8571428571428572,1.0,70.3525672102981
pre_outcome_challenger_after_slate_selection,campaign,before_batch,full_slate,ROUND_010,11,19.515967971452415,19.515967971452415,24.492061745527117,-4.2224544289473345,0.48181818181818187,0.7272727272727273,44.42876814652464
pre_outcome_challenger_after_slate_selection,campaign_noise,before_batch,full_slate,ROUND_010,11,17.79805649942691,17.79805649942691,21.291309751758984,-2.946651004625054,0.41818181818181827,0.9090909090909091,62.01524230396587
pre_outcome_challenger_after_slate_selection,control,before_batch,full_slate,ROUND_010,11,18.32750372262522,18.32750372262522,20.979711955261717,-2.8319780267456847,0.5545454545454546,0.8181818181818182,68.3771366925515
pre_outcome_challenger_after_slate_selection,control,before_batch,matched_nonreference,ROUND_010,8,15.604161894642889,15.604161894642889,16.872957278301964,-1.83564898115963,0.8333333333333335,1.0,75.38284078134049
pre_outcome_challenger_after_slate_selection,control,reference_conditioned,matched_nonreference,ROUND_010,8,5.479121681225088,-2.700407860104114,6.753206736579724,0.5457550103454473,0.8571428571428572,1.0,70.33422881161592
pre_outcome_challenger_after_slate_selection,current,before_batch,full_slate,ROUND_010,11,31.449532601059044,31.449532601059044,35.364286190850194,-9.888141613374081,0.28181818181818186,0.5454545454545454,53.63301823956342
