batch_id,offset,sd,controls,ordinary,strategy,stage,target_batch
ROUND_010,-17.413639546931854,4.67229177131894,0,3,batch,reference_conditioned,ROUND_010
ROUND_010,-17.247534931930467,4.652442295214659,1,3,control,reference_conditioned,ROUND_010
