evaluation_policy_version,round_id,round_number,provenance_class,formal_cohort,active_phase,candidate_id,formulation_id,recommendation_type,selection_rank,endpoint,endpoint_role,metric_type,prediction_mean,prediction_std,observed_mean,observed_unit,replicate_count,completed_row_count,evaluation_eligible,exclusion_reason,formal_metric_eligible,formal_exclusion_reason,signed_error,absolute_error,squared_error,standardized_residual,interval_95_lower,interval_95_upper,interval_95_covered,brier_score,classification_correct
prospective_evaluation_v2,ROUND_007,7,formal_frozen,True,screening_only,retest_v2_6fb2fa9dc5d5,v2_6fb2fa9dc5d5,retest_priority,1,viability_percent,primary,continuous,57.35519035795547,0.976564839353124,49.370000000000005,percent,4,4,True,,True,,7.985190357955467,7.985190357955467,63.763265052784966,8.176815339004886,55.44112327282335,59.2692574430876,False,,
prospective_evaluation_v2,ROUND_007,7,formal_frozen,True,screening_only,retest_v2_6fb2fa9dc5d5,v2_6fb2fa9dc5d5,retest_priority,1,intact_patch_formation_pass,gate_secondary,binary,0.8688306842996806,,1.0,binary,4,4,True,,True,,-0.13116931570031942,0.13116931570031942,0.017205389381290064,,,,,0.017205389381290064,True
prospective_evaluation_v2,ROUND_007,7,formal_frozen,True,screening_only,retest_v2_6fb2fa9dc5d5,v2_6fb2fa9dc5d5,retest_priority,1,critical_axial_load_N_per_needle,mechanical_secondary,continuous,0.0,0.0,,,0,4,False,not_measured,False,not_measured,,,,,,,,,
prospective_evaluation_v2,ROUND_007,7,formal_frozen,True,screening_only,retest_v2_e579d58c9088,v2_e579d58c9088,retest_priority,2,viability_percent,primary,continuous,8.199635037081883,0.9992085075820124,13.4225,percent,4,4,True,,True,,-5.222864962918116,5.222864962918116,27.278318420877657,-5.227002095445466,6.241186362221139,10.158083711942627,False,,
prospective_evaluation_v2,ROUND_007,7,formal_frozen,True,screening_only,retest_v2_e579d58c9088,v2_e579d58c9088,retest_priority,2,intact_patch_formation_pass,gate_secondary,binary,0.7384969017380637,,1.0,binary,4,4,True,,True,,-0.2615030982619363,0.2615030982619363,0.0683838704005919,,,,,0.0683838704005919,True
prospective_evaluation_v2,ROUND_007,7,formal_frozen,True,screening_only,retest_v2_e579d58c9088,v2_e579d58c9088,retest_priority,2,critical_axial_load_N_per_needle,mechanical_secondary,continuous,0.0,0.0,,,0,4,False,not_measured,False,not_measured,,,,,,,,,
prospective_evaluation_v2,ROUND_007,7,formal_frozen,True,screening_only,rescue_000002,v2_c0858ec7c2c6,rescue_candidate,3,viability_percent,primary,continuous,24.045745669093986,7.8081176210390115,24.2275,percent,4,4,True,,True,,-0.18175433090601345,0.18175433090601345,0.03303463680309263,-0.023277611804447658,8.741835131857524,39.34965620633045,True,,
prospective_evaluation_v2,ROUND_007,7,formal_frozen,True,screening_only,rescue_000002,v2_c0858ec7c2c6,rescue_candidate,3,intact_patch_formation_pass,gate_secondary,binary,0.6931266866376704,,1.0,binary,4,4,True,,True,,-0.3068733133623296,0.3068733133623296,0.09417123045397453,,,,,0.09417123045397453,True
prospective_evaluation_v2,ROUND_007,7,formal_frozen,True,screening_only,rescue_000002,v2_c0858ec7c2c6,rescue_candidate,3,critical_axial_load_N_per_needle,mechanical_secondary,continuous,0.0,0.0,,,0,4,False,not_measured,False,not_measured,,,,,,,,,
prospective_evaluation_v2,ROUND_007,7,formal_frozen,True,screening_only,rescue_000005,v2_d880ac9c9187,rescue_candidate,4,viability_percent,primary,continuous,16.3855151477282,5.704083126348067,21.47,percent,4,4,True,,True,,-5.0844848522718,5.0844848522718,25.851986212981384,-0.8913763596441566,5.205512220085989,27.56551807537041,True,,
prospective_evaluation_v2,ROUND_007,7,formal_frozen,True,screening_only,rescue_000005,v2_d880ac9c9187,rescue_candidate,4,intact_patch_formation_pass,gate_secondary,binary,0.7836229465914112,,1.0,binary,4,4,True,,True,,-0.21637705340858882,0.21637705340858882,0.0468190292417833,,,,,0.0468190292417833,True
prospective_evaluation_v2,ROUND_007,7,formal_frozen,True,screening_only,rescue_000005,v2_d880ac9c9187,rescue_candidate,4,critical_axial_load_N_per_needle,mechanical_secondary,continuous,0.0,0.0,,,0,4,False,not_measured,False,not_measured,,,,,,,,,
prospective_evaluation_v2,ROUND_007,7,formal_frozen,True,screening_only,cand_000497,v2_6f20e63adb1d,screening_candidate,5,viability_percent,primary,continuous,72.85715982015662,5.9533368640388895,48.9975,percent,4,4,True,,True,,23.859659820156622,23.859659820156622,569.2833667335964,4.0077792278614055,61.1886195666404,84.52570007367285,False,,
