round_id,round_number,phase,provenance,panel,series,formulation_id,value,lower,upper,count_pass,count_fail,production_strategy,strategy_decision_id
ROUND_003,3,screening_only,formal_frozen,prospective_performance,bias,,14.765135305195331,,,,,current,historical_current
ROUND_003,3,screening_only,formal_frozen,prospective_performance,interval_95_coverage,,0.9166666666666666,,,,,current,historical_current
ROUND_003,3,screening_only,formal_frozen,feasibility_mechanics,intact_pass_proportion,,0.5833333333333334,0.3195073356553728,0.8067425380947535,7.0,5.0,current,historical_current
ROUND_003,3,screening_only,formal_frozen,feasibility_mechanics,mechanical_measurement_count,,0.0,,,,,current,historical_current
ROUND_004,4,screening_only,formal_frozen,observed_viability,individual_formulation,v2_0e9e2b605ce7,50.515,,,,,current,historical_current
ROUND_004,4,screening_only,formal_frozen,observed_viability,individual_formulation,v2_1d06992cb257,35.825,,,,,current,historical_current
ROUND_004,4,screening_only,formal_frozen,observed_viability,individual_formulation,v2_1e09bd3298a1,0.69,,,,,current,historical_current
ROUND_004,4,screening_only,formal_frozen,observed_viability,individual_formulation,v2_4da335e6bc9d,10.1075,,,,,current,historical_current
ROUND_004,4,screening_only,formal_frozen,observed_viability,individual_formulation,v2_6005e837cd4b,28.365000000000002,,,,,current,historical_current
ROUND_004,4,screening_only,formal_frozen,observed_viability,individual_formulation,v2_6886b09726ac,30.2175,,,,,current,historical_current
ROUND_004,4,screening_only,formal_frozen,observed_viability,individual_formulation,v2_6fb2fa9dc5d5,58.35,,,,,current,historical_current
ROUND_004,4,screening_only,formal_frozen,observed_viability,individual_formulation,v2_8d9d8b0a7098,50.6025,,,,,current,historical_current
ROUND_004,4,screening_only,formal_frozen,observed_viability,individual_formulation,v2_98a8e114024b,1.3325,,,,,current,historical_current
ROUND_004,4,screening_only,formal_frozen,observed_viability,individual_formulation,v2_ced63818bdd1,32.885,,,,,current,historical_current
ROUND_004,4,screening_only,formal_frozen,observed_viability,individual_formulation,v2_e5b28bf5a066,40.4675,,,,,current,historical_current
ROUND_004,4,screening_only,formal_frozen,observed_viability,individual_formulation,v2_eb8bb8b8618f,52.8825,,,,,current,historical_current
ROUND_004,4,screening_only,formal_frozen,observed_viability,median_iqr,,34.355000000000004,23.800625000000004,50.536875,,,current,historical_current
ROUND_004,4,screening_only,formal_frozen,prospective_performance,mae,,29.947990928664634,,,,,current,historical_current
ROUND_004,4,screening_only,formal_frozen,prospective_performance,bias,,27.715012849880043,,,,,current,historical_current
ROUND_004,4,screening_only,formal_frozen,prospective_performance,interval_95_coverage,,0.5833333333333334,,,,,current,historical_current
ROUND_004,4,screening_only,formal_frozen,feasibility_mechanics,intact_pass_proportion,,0.75,0.46768966087934005,0.9110599603710386,9.0,3.0,current,historical_current
ROUND_004,4,screening_only,formal_frozen,feasibility_mechanics,mechanical_measurement_count,,0.0,,,,,current,historical_current
ROUND_005,5,screening_only,formal_frozen,observed_viability,individual_formulation,v2_011eef292ff1,31.849999999999998,,,,,current,historical_current
ROUND_005,5,screening_only,formal_frozen,observed_viability,individual_formulation,v2_117f554a123f,11.9125,,,,,current,historical_current
ROUND_005,5,screening_only,formal_frozen,observed_viability,individual_formulation,v2_1be28fc1c3ad,53.3425,,,,,current,historical_current
ROUND_005,5,screening_only,formal_frozen,observed_viability,individual_formulation,v2_40e9f706b46d,19.355,,,,,current,historical_current
ROUND_005,5,screening_only,formal_frozen,observed_viability,individual_formulation,v2_5526047f869b,25.5225,,,,,current,historical_current
ROUND_005,5,screening_only,formal_frozen,observed_viability,individual_formulation,v2_711df1b41503,48.3325,,,,,current,historical_current
ROUND_005,5,screening_only,formal_frozen,observed_viability,individual_formulation,v2_79ec2bf8acae,31.495,,,,,current,historical_current
ROUND_005,5,screening_only,formal_frozen,observed_viability,individual_formulation,v2_88865d95334d,1.365,,,,,current,historical_current
ROUND_005,5,screening_only,formal_frozen,observed_viability,individual_formulation,v2_c52464fe22c3,6.93,,,,,current,historical_current
ROUND_005,5,screening_only,formal_frozen,observed_viability,individual_formulation,v2_d9aaefea702e,9.2925,,,,,current,historical_current
ROUND_005,5,screening_only,formal_frozen,observed_viability,individual_formulation,v2_f1b5aed4af5a,22.145,,,,,current,historical_current
ROUND_005,5,screening_only,formal_frozen,observed_viability,individual_formulation,v2_f3bcb989040c,59.182500000000005,,,,,current,historical_current
ROUND_005,5,screening_only,formal_frozen,observed_viability,median_iqr,,23.833750000000002,11.2575,35.970625,,,current,historical_current
ROUND_005,5,screening_only,formal_frozen,prospective_performance,mae,,30.473503793586342,,,,,current,historical_current
ROUND_005,5,screening_only,formal_frozen,prospective_performance,bias,,30.473503793586342,,,,,current,historical_current
ROUND_005,5,screening_only,formal_frozen,prospective_performance,interval_95_coverage,,0.75,,,,,current,historical_current
ROUND_005,5,screening_only,formal_frozen,feasibility_mechanics,intact_pass_proportion,,0.75,0.46768966087934005,0.9110599603710386,9.0,3.0,current,historical_current
ROUND_005,5,screening_only,formal_frozen,feasibility_mechanics,mechanical_measurement_count,,0.0,,,,,current,historical_current
ROUND_006,6,screening_only,formal_frozen,observed_viability,individual_formulation,v2_0edd7362eda9,8.025,,,,,current,historical_current
