feature,importance
ethylene_glycol,1.0937394361153843
ectoin,1.027973779472988
dmso,0.4791147605741036
fbs,0.18499366383404214
hsa,0.13733762854340914
human_serum,0.1274029300236006
pvp,0.12396804918951188
glycerol,0.10650994932004942
dextran,0.09867210127745829
betaine,0.09350529650796435
trehalose,0.08933306703752453
sucrose,0.08469434221807526
proline,0.0805335031918486
propylene_glycol,0.06510191721109082
peg_3350,0.06216935527781131
hes,0.06024321585864478
methylcellulose,0.012054136274659122
creatine,0.00951324371261375
hyaluronic_acid,0.008726151791938697
glucose,0.007936039344354384
raffinose,0.0005118462161902704
