rank,count,mean,std
1,4,35.555,6.768153367056631
2,4,15.96,6.44864326816114
3,4,26.384999999999998,5.5985146839734785
4,4,2.1550000000000002,0.8721429546429492
5,4,31.5,10.29986084048388
6,4,31.775000000000002,7.135537821355867
7,4,38.1975,14.898101389103243
8,4,5.5225,5.090483768759115
9,4,27.770000000000003,18.39703418126592
10,4,21.097500000000004,9.383106717216144
11,4,16.3325,7.393489816498476
12,4,16.0075,8.426685291382372
