endpoint,formulation_id,batch_id,actual,predicted,predicted_std,absolute_error,squared_error
viability_percent,legacy_lit_5,legacy_literature,84.5,62.94319171448257,14.622970030128888,21.556808285517427,464.6959834585528
viability_percent,legacy_lit_12,legacy_literature,95.2,69.66380865730434,17.434654560402727,25.53619134269566,652.0970682907647
viability_percent,legacy_lit_19,legacy_literature,92.35,35.67926250110063,12.237710312181633,56.67073749889936,3211.5724886691587
viability_percent,legacy_lit_37,legacy_literature,100.0,67.26307910349755,6.998880543184802,32.736920896502454,1071.705989783859
viability_percent,legacy_lit_39,legacy_literature,80.0,73.82457286176813,10.441725088097183,6.175427138231868,38.135900339610636
viability_percent,legacy_lit_45,legacy_literature,28.0,54.9059000033804,19.302525990169745,26.905900003380403,723.9274549919055
viability_percent,legacy_lit_54,legacy_literature,65.0,35.38875364218518,6.201626917120245,29.61124635781482,876.8259108632014
viability_percent,legacy_lit_59,legacy_literature,77.0,49.58665496684652,22.347559098686666,27.413345033153483,751.4914859067208
viability_percent,legacy_lit_68,legacy_literature,74.0,37.030539075192955,13.403468350399603,36.969460924807045,1366.7410410708349
viability_percent,legacy_lit_74,legacy_literature,78.0,49.87220716888783,23.895851217017956,28.127792831112167,791.172729549965
viability_percent,legacy_lit_79,legacy_literature,38.0,43.48969419274972,21.221935623072287,5.489694192749717,30.136742329909964
viability_percent,legacy_lit_87,legacy_literature,49.3,25.268350007904264,15.374663048472156,24.031649992095733,577.5202013425949
viability_percent,legacy_lit_91,legacy_literature,53.2,48.470811131717156,24.23083500246156,4.729188868282847,22.365227351890397
viability_percent,legacy_lit_96,legacy_literature,64.3,53.053403001833814,23.28246346128916,11.246596998166183,126.4859440391606
viability_percent,legacy_lit_102,legacy_literature,43.0,35.38430375987273,6.233720621871327,7.615696240127271,57.99882922188865
viability_percent,legacy_lit_114,legacy_literature,87.56,54.40717121165261,4.488726145113001,33.15282878834739,1099.1100566694756
viability_percent,legacy_lit_128,legacy_literature,80.0,50.286080634391745,4.15769364941439,29.713919365608255,882.9170040658693
viability_percent,legacy_lit_132,legacy_literature,38.0,38.17673978657656,6.0510256805684355,0.17673978657656164,0.03123695215912856
viability_percent,legacy_lit_137,legacy_literature,70.0,49.814767039629004,17.504905226931413,20.185232960370996,407.44362966444766
viability_percent,legacy_lit_198,legacy_literature,86.0,35.38741152196842,6.208130909278844,50.61258847803158,2561.6341124465753
viability_percent,legacy_lit_202,legacy_literature,65.0,76.37074106054206,11.795558509005874,11.37074106054206,129.29375226589715
viability_percent,legacy_lit_207,legacy_literature,70.0,52.55286016265923,17.198099740206345,17.44713983734077,304.40268850372337
viability_percent,legacy_lit_215,legacy_literature,78.33333333333333,38.05335991404689,20.163100576650045,40.27997341928644,1622.4762586584222
viability_percent,legacy_lit_225,legacy_literature,38.0,37.5553449659747,17.540868075817283,0.4446550340253026,0.19771809928404302
viability_percent,legacy_lit_252,legacy_literature,17.0,31.486118019092675,11.175511139509723,14.486118019092675,209.8476152630815
viability_percent,legacy_lit_257,legacy_literature,62.0,48.44564241581261,22.055654090455555,13.554357584187393,183.72060952001831
viability_percent,legacy_lit_262,legacy_literature,80.0,23.456141989815492,11.205646544153371,56.54385801018451,3197.2078786759066
viability_percent,legacy_lit_277,legacy_literature,84.0,52.685051513620856,25.3957088881214,31.314948486379144,980.6259987045795
viability_percent,legacy_lit_289,legacy_literature,94.0,44.537202896216705,3.4309324820141938,49.462797103783295,2446.568297330033
viability_percent,legacy_lit_306,legacy_literature,99.0,35.38830019686195,6.202355176293539,63.61169980313805,4046.4483518445536
viability_percent,legacy_lit_313,legacy_literature,10.0,57.287518425165125,19.059506305449414,47.287518425165125,2236.109398810331
viability_percent,legacy_lit_318,legacy_literature,38.0,61.81776101510879,4.496242387236433,23.817761015108793,567.2857397728362
viability_percent,legacy_lit_326,legacy_literature,74.33333333333333,74.33225296997242,16.216618534810188,0.0010803633609128838,1.167184991602982e-06
viability_percent,legacy_lit_339,legacy_literature,84.3,53.50892740826035,25.465517112516103,30.79107259173965,948.0901513497806
viability_percent,legacy_lit_347,legacy_literature,69.5,63.908051722342805,17.380385058518403,5.591948277657195,31.269885539993275
viability_percent,legacy_lit_352,legacy_literature,69.6,57.39909037999608,20.099571189126998,12.200909620003912,148.862195555504
viability_percent,legacy_lit_357,legacy_literature,74.9,55.21266021366201,19.78201859243178,19.687339786337994,387.59134786272693
viability_percent,legacy_lit_361,legacy_literature,50.3,51.32071515852009,21.08318002140586,1.0207151585200904,1.0418594348326933
viability_percent,legacy_lit_375,legacy_literature,81.3,58.57970608068925,3.518960555771201,22.72029391931075,516.211755779869
viability_percent,legacy_wetlab_EXP102,legacy_wetlab,38.14,36.46741950281999,4.795826086352277,1.6725804971800073,2.7975255195469204
viability_percent,legacy_wetlab_EXP205,legacy_wetlab,63.31,50.140687495946615,23.162132414220146,13.169312504053387,173.4307918294169
viability_percent,legacy_wetlab_EXP303,legacy_wetlab,6.5,51.136549837133785,25.36381766014033,44.636549837133785,1992.4215813629282
viability_percent,legacy_wetlab_EXP1101,legacy_wetlab,15.27,46.69275120710943,5.637697209174436,31.42275120710943,987.3892934238972
viability_percent,legacy_wetlab_EXP1106,legacy_wetlab,48.85,55.53633787624528,11.948651794460897,6.686337876245275,44.70711419531218
viability_percent,legacy_wetlab_EXP1206,legacy_wetlab,36.12,48.16737063673668,22.21565416305327,12.04737063673668,145.13913925890517
viability_percent,legacy_wetlab_EXP2104,legacy_wetlab,53.4,39.298502548558034,16.898031823992703,14.101497451441965,198.85223037302424
viability_percent,legacy_wetlab_EXP3102,legacy_wetlab,51.94,52.87189383405549,25.452174435219586,0.9318938340554936,0.868426117950648
viability_percent,legacy_wetlab_EXP3107,legacy_wetlab,63.25,42.05109621602843,5.779529213856181,21.198903783971573,449.3935216420843
viability_percent,legacy_wetlab_EXP4104,legacy_wetlab,76.91,61.20063178445815,2.787647556346322,15.709368215541843,246.78424973147634
viability_percent,legacy_wetlab_EXP5103,legacy_wetlab,72.48,50.27583864472994,6.498510782014916,22.204161355270067,493.02478149086863
viability_percent,legacy_wetlab_EXP5108,legacy_wetlab,59.17,38.363597736219035,3.8043862019555816,20.806402263780967,432.90637516226974
viability_percent,legacy_wetlab_EXP5201,legacy_wetlab,27.08,53.471214167995434,25.46524327750328,26.391214167995436,696.496185261003
viability_percent,legacy_wetlab_EXP5206,legacy_wetlab,13.35,52.488304294721544,25.395704820981848,39.13830429472154,1531.8068630662187
viability_percent,legacy_wetlab_EXP5211,legacy_wetlab,7.39,51.571659499294604,23.89121894658286,44.181659499294604,1952.019036111609
viability_percent,legacy_wetlab_EXP6105,legacy_wetlab,53.08,56.312464430757316,25.140810782497105,3.232464430757318,10.448826296111232
viability_percent,legacy_wetlab_EXP7104,legacy_wetlab,75.91,78.7563939814045,3.0625899983921108,2.8463939814045034,8.10195869737578
viability_percent,legacy_wetlab_EXP7109,legacy_wetlab,11.49,59.34554433789199,22.557253506454717,47.855544337891985,2290.1531238759458
viability_percent,legacy_wetlab_EXP8102,legacy_wetlab,71.7,67.51923120561936,2.5102148150744203,4.18076879438064,17.47882771206695
viability_percent,legacy_wetlab_EXP8107,legacy_wetlab,54.64,42.28155244659341,10.428732071378235,12.358447553406592,152.73122593030138
viability_percent,legacy_wetlab_EXP9104,legacy_wetlab,74.92,64.9082611897094,3.212656733124354,10.011738810290595,100.23491400547894
viability_percent,v2_655729013931,ROUND_002,64.9,63.57694870050552,4.910896387298206,1.3230512994944874,1.750464741094052
viability_percent,v2_384020959c42,ROUND_002,21.375,50.46544221445153,22.53385095450002,29.090442214451528,846.2538282323435
viability_percent,v2_b2c883db5caf,ROUND_002,43.185,49.416527972203916,25.15295273371416,6.231527972203914,38.83194086835982
