recommendation_type,bucket_rank,origin,source_file,source_rank,anchor_stage,anchor_experiments,predicted_viability,uncertainty,blindspot_score,novelty_score,dmso_percent,n_ingredients,betaine_M,creatine_M,dextran_pct,dmso_M,ectoin_M,ethylene_glycol_M,fbs_pct,glucose_M,glycerol_M,hes_pct,hsa_pct,human_serum_pct,hyaluronic_acid_pct,methylcellulose_pct,peg_3350_pct,proline_M,propylene_glycol_M,pvp_pct,raffinose_M,sucrose_M,trehalose_M,formulation,rationale
exploit,1,bo_candidate,bo_candidates_dmso_free_iteration_9_prior_mean.csv,4.0,,,74.59581538392261,14.636868169785105,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.249950172406348,1.6480250183651537,9.640723679262958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0mM ectoin + 1.65M ethylene_glycol + 9.6% fbs,Top BO exploitation candidate with strong predicted viability.
exploit,2,bo_candidate,bo_candidates_dmso_free_iteration_9_prior_mean.csv,5.0,,,74.41996928185063,14.605841697590243,0.0,0.0,0.053513380410217054,4,0.0,0.0,0.0,0.0075342017728451,0.2492712026379946,1.674417574612459,9.78477823728199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5mM dmso + 249.3mM ectoin + 1.67M ethylene_glycol + 9.8% fbs,Top BO exploitation candidate with strong predicted viability.
exploit,3,bo_candidate,bo_candidates_dmso_free_iteration_9_prior_mean.csv,6.0,,,74.35085447227324,14.508069086133784,0.0,0.0,0.12091625429928671,4,0.0,0.0,0.0,0.0170239190745188,0.2539006239660291,1.6490986781307613,9.352613944559543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0mM dmso + 253.9mM ectoin + 1.65M ethylene_glycol + 9.4% fbs,Top BO exploitation candidate with strong predicted viability.
exploit,4,bo_candidate,bo_candidates_dmso_free_iteration_9_prior_mean.csv,7.0,,,74.28151039905423,14.351964751691623,0.0,0.0,0.19659943338097544,4,0.0,0.0,0.0,0.0276794287366022,0.2635249050070912,1.6558733120035678,8.715955235125548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.7mM dmso + 263.5mM ectoin + 1.66M ethylene_glycol + 8.7% fbs,Top BO exploitation candidate with strong predicted viability.
exploit,5,bo_candidate,bo_candidates_dmso_free_iteration_9_prior_mean.csv,11.0,,,73.77987035910621,14.375139607604964,0.0,0.0,0.2573649907833397,4,0.0,0.0,0.0,0.0362346716833065,0.2658629053449673,1.6619472610061783,8.555235437093765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.2mM dmso + 265.9mM ectoin + 1.66M ethylene_glycol + 8.6% fbs,Top BO exploitation candidate with strong predicted viability.
exploit,6,bo_candidate,bo_candidates_general_iteration_9_prior_mean.csv,7.0,,,73.80192738334577,15.04018358625614,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.2744054556750949,1.743845985924916,8.034473166281366,0.0,0.0,0.0,0.0,0.0,0.0,0.2716949337887099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,274.4mM ectoin + 1.74M ethylene_glycol + 8.0% fbs + 0.3% methylcellulose,Top BO exploitation candidate with strong predicted viability.
exploit,7,bo_candidate,bo_candidates_dmso_free_iteration_9_prior_mean.csv,14.0,,,73.30038212861929,14.303369200605106,0.0,0.0,0.3256763488200681,4,0.0,0.0,0.0,0.0458522953669621,0.2713012923498,1.7125386240925655,7.947452961459641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.9mM dmso + 271.3mM ectoin + 1.71M ethylene_glycol + 7.9% fbs,Top BO exploitation candidate with strong predicted viability.
exploit,8,bo_candidate,bo_candidates_general_iteration_9_prior_mean.csv,10.0,,,73.52275731021575,14.910950536845933,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.2395976924312455,1.601610328972905,10.20031357621622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,239.6mM ectoin + 1.60M ethylene_glycol + 10.2% fbs,Top BO exploitation candidate with strong predicted viability.
exploit,9,bo_candidate,bo_candidates_dmso_free_iteration_9_prior_mean.csv,17.0,,,72.81808759760698,13.835391807303743,0.0,0.0,0.0371390431791602,4,0.0,0.0,0.0,0.0052288426336972,0.3130775358436306,2.0067887450229773,6.305287531363573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2mM dmso + 313.1mM ectoin + 2.01M ethylene_glycol + 6.3% fbs,Top BO exploitation candidate with strong predicted viability.
exploit,10,bo_candidate,bo_candidates_dmso_free_iteration_9_prior_mean.csv,18.0,,,72.39786167526488,14.368012740972226,0.0,0.0,0.3923446485606295,4,0.0,0.0,0.0,0.0552385912474968,0.2737636321606236,1.7383578577913117,7.604080323655066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.2mM dmso + 273.8mM ectoin + 1.74M ethylene_glycol + 7.6% fbs,Top BO exploitation candidate with strong predicted viability.
