strategy,model_name,batch_id,formulation_id,stage,evidence,predicted,latent_lower,latent_upper,future_lower,future_upper,is_control,conditioning_ids,calibration_status,actual,evaluation_subset,conditioning_observation_ids,model_version,training_sha256,training_cutoff,created_at
control,Proposed GP — campaign-only + batch effect + control calibration,ROUND_002,v2_75d69addc009,reference_conditioned,historical_forward_refit,40.07155861355298,10.091327877644396,70.05178934946156,10.07531493241321,70.06780229469275,False,"[""v2_e0e6b16a3f20""]",insufficient reference history; prior-sensitive,29.2025,matched_nonreference,,,,,
control,Proposed GP — campaign-only + batch effect + control calibration,ROUND_002,v2_42188f45e98a,reference_conditioned,historical_forward_refit,40.06436014289364,10.028942376530257,70.09977790925703,10.01295883779678,70.11576144799051,False,"[""v2_e0e6b16a3f20""]",insufficient reference history; prior-sensitive,38.805,matched_nonreference,,,,,
control,Proposed GP — campaign-only + batch effect + control calibration,ROUND_002,v2_a3cd6cc2afa7,reference_conditioned,historical_forward_refit,40.77817851858582,10.438474844056191,71.11788219311545,10.422651525000834,71.1337055121708,False,"[""v2_e0e6b16a3f20""]",insufficient reference history; prior-sensitive,57.3875,matched_nonreference,,,,,
control,Proposed GP — campaign-only + batch effect + control calibration,ROUND_002,v2_655729013931,reference_conditioned,historical_forward_refit,39.95277634831892,9.59560395114024,70.30994874549759,9.579789732708871,70.32576296392897,False,"[""v2_e0e6b16a3f20""]",insufficient reference history; prior-sensitive,64.9,matched_nonreference,,,,,
control,Proposed GP — campaign-only + batch effect + control calibration,ROUND_002,v2_34d667ff4762,reference_conditioned,historical_forward_refit,41.509861619319125,11.205222885941438,71.81450035269681,11.189381267574449,71.8303419710638,False,"[""v2_e0e6b16a3f20""]",insufficient reference history; prior-sensitive,63.88,matched_nonreference,,,,,
control,Proposed GP — campaign-only + batch effect + control calibration,ROUND_002,v2_db8935ce2c34,reference_conditioned,historical_forward_refit,41.22521379396947,10.9064000385163,71.54402754942265,10.890565822749227,71.55986176518972,False,"[""v2_e0e6b16a3f20""]",insufficient reference history; prior-sensitive,61.5875,matched_nonreference,,,,,
control,Proposed GP — campaign-only + batch effect + control calibration,ROUND_002,v2_fc5b4c04eee9,reference_conditioned,historical_forward_refit,40.15271731932979,9.797534595128027,70.50790004353155,9.781719340671316,70.52371529798826,False,"[""v2_e0e6b16a3f20""]",insufficient reference history; prior-sensitive,56.2875,matched_nonreference,,,,,
control,Proposed GP — campaign-only + batch effect + control calibration,ROUND_002,v2_3e8ef993abba,reference_conditioned,historical_forward_refit,40.63670885870351,10.310436317287936,70.96298140011908,10.294605993934624,70.97881172347239,False,"[""v2_e0e6b16a3f20""]",insufficient reference history; prior-sensitive,65.5625,matched_nonreference,,,,,
control,Proposed GP — campaign-only + batch effect + control calibration,ROUND_002,v2_8a721b7d8f1c,reference_conditioned,historical_forward_refit,40.2625643663438,9.918810043928431,70.60631868875917,9.90298883605844,70.62213989662916,False,"[""v2_e0e6b16a3f20""]",insufficient reference history; prior-sensitive,63.9975,matched_nonreference,,,,,
control,Proposed GP — campaign-only + batch effect + control calibration,ROUND_002,v2_384020959c42,reference_conditioned,historical_forward_refit,39.81687302752284,10.223898254036555,69.40984780100912,10.207675876228858,69.42607017881681,False,"[""v2_e0e6b16a3f20""]",insufficient reference history; prior-sensitive,21.375,matched_nonreference,,,,,
