strategy,groups,outcomes,mae,bias,rank,coverage,width
batch,9,107,15.926335349966045,9.942992738089089,0.5466829712417833,0.8872053872053871,61.96189558976951
campaign,9,107,15.709914396932614,9.096681826190803,0.5244785211576234,0.7937710437710437,52.429484893924794
campaign_noise,9,107,15.291112693937798,8.83841086828459,0.5026189219775512,0.8973063973063974,58.87888521418932
control,9,107,15.926335349966045,9.942992738089089,0.5466829712417833,0.8872053872053871,61.96189558976951
current,9,107,25.986486452644055,23.536508429707943,0.29705955800363754,0.6531986531986532,64.43030553581434
