formulation_id,batch_id,actual,predicted,predicted_std,cv_fold,panel,endpoint,paired_rows_cumulative,pareto_points_cumulative,normalized_hypervolume,igd,viability_r2,load_r2
legacy_wetlab_EXP2102,legacy_wetlab,28.14,52.08402548748346,26.167337465289233,1.0,all_cv,viability_percent,,,,,,
legacy_wetlab_EXP3105,legacy_wetlab,41.32,58.23334827877423,9.767343964174659,1.0,all_cv,viability_percent,,,,,,
legacy_wetlab_EXP4102,legacy_wetlab,59.76,63.82587331673239,4.0545422482222095,1.0,all_cv,viability_percent,,,,,,
legacy_wetlab_EXP5101,legacy_wetlab,49.0,70.54990561333281,5.030563747299913,1.0,all_cv,viability_percent,,,,,,
legacy_wetlab_EXP5106,legacy_wetlab,91.4,66.32390498188425,3.673370385583732,1.0,all_cv,viability_percent,,,,,,
legacy_wetlab_EXP5111,legacy_wetlab,88.78,59.65476035754632,1.1055026917351944,1.0,all_cv,viability_percent,,,,,,
legacy_wetlab_EXP5204,legacy_wetlab,71.75,24.719465054693813,17.653757828383217,1.0,all_cv,viability_percent,,,,,,
legacy_wetlab_EXP5209,legacy_wetlab,60.43,66.69556820006129,16.64248852508834,1.0,all_cv,viability_percent,,,,,,
legacy_wetlab_EXP6103,legacy_wetlab,71.12,61.46164475743727,4.023071922491333,1.0,all_cv,viability_percent,,,,,,
legacy_wetlab_EXP7102,legacy_wetlab,79.04,77.39697034870665,1.7721692277656307,1.0,all_cv,viability_percent,,,,,,
legacy_wetlab_EXP7107,legacy_wetlab,70.97,78.16623260726931,5.212035138060838,1.0,all_cv,viability_percent,,,,,,
legacy_wetlab_EXP7112,legacy_wetlab,41.07,53.44667601891785,9.680551315156148,1.0,all_cv,viability_percent,,,,,,
legacy_wetlab_EXP8105,legacy_wetlab,64.69,61.12493948535778,5.530136630696417,1.0,all_cv,viability_percent,,,,,,
legacy_wetlab_EXP9102,legacy_wetlab,70.72,68.94420169022808,2.268782394801167,1.0,all_cv,viability_percent,,,,,,
legacy_wetlab_EXP9107,legacy_wetlab,61.47,58.69555343314145,5.296637304315088,1.0,all_cv,viability_percent,,,,,,
v2_49123b81735d,ROUND_001,40.44,59.17106638319715,22.793381858344464,1.0,all_cv,viability_percent,,,,,,
v2_db8935ce2c34,ROUND_002,61.5875,61.002708380290514,4.366986892094646,1.0,all_cv,viability_percent,,,,,,
v2_8f6028d7e59a,ROUND_003,41.0,51.64218453209185,26.267329772218417,1.0,all_cv,viability_percent,,,,,,
