formulation_id,batch_id,critical_axial_load_N_per_needle,viability_percent,intact_patch_formation_pass,source,source_row_id,formulation_label,active_ingredient_count,dmso_M,ectoin_M,ethylene_glycol_M,glycerol_M,propylene_glycol_M,trehalose_M,sucrose_M,raffinose_M,taurine_M,myo_inositol_M,methoxyphenyl_beta_d_glucopyranoside_M,betaine_M,proline_M,glucose_M,creatine_M,acetamide_M,sericin_pct,methylcellulose_pct,dextran_pct,pvp_pct,hyaluronic_acid_pct,fbs_pct,hsa_pct,human_serum_pct,mechanical_definition_id,evidence_kind,exclusion_reason
v2_958a475d561d,ROUND_009,0.2150895,57.575,1.0,wetlab_feedback:ROUND_009,cand_001152,,2,0.0,0.4085859366688696,0.4445899023866297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,terminal_force_08mm_after_1N_v1,feasible_observed,
v2_058f0d84ea0e,ROUND_009,0.15135425,37.480000000000004,1.0,wetlab_feedback:ROUND_009,cand_001885,,4,0.0853806788948151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3772682270582229,0.0,0.0245274250591131,0.0,0.0,0.0,0.0,0.0,0.0,7.871730614992146,0.0,0.0,terminal_force_08mm_after_1N_v1,feasible_observed,
v2_f87d5e9bf5a4,ROUND_009,0.24119499999999983,14.515,1.0,wetlab_feedback:ROUND_009,cand_001965,,3,0.0890941970277426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4003559668540912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.696867081677418,0.0,terminal_force_08mm_after_1N_v1,feasible_observed,
v2_a4c0156ecbf5,ROUND_009,0.16605816666666665,31.7125,1.0,wetlab_feedback:ROUND_009,cand_001515,,3,0.0751278810186414,0.0,0.0,0.0,0.0,0.423671033441645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0263313477020842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,terminal_force_08mm_after_1N_v1,feasible_observed,
reference_b5a5b7b1176f,ROUND_010,0.635854,35.555,1.0,wetlab_feedback:ROUND_010,reference_control,,2,0.3519774734416998,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,terminal_force_08mm_after_1N_v1,feasible_observed,
v2_3e8ef993abba,ROUND_010,0.17870795833333333,15.96,1.0,wetlab_feedback:ROUND_010,followup_v2_3e8ef993abba,,2,0.0,0.240084092433004,1.0651740493140032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,terminal_force_08mm_after_1N_v1,feasible_observed,
v2_211d2693ca45,ROUND_010,0.27201050000000004,31.775000000000002,1.0,wetlab_feedback:ROUND_010,cand_000461,,2,0.0,0.4110977373526631,1.0914486465471067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,terminal_force_08mm_after_1N_v1,feasible_observed,
v2_55f87bb2c839,ROUND_010,0.109429,38.1975,1.0,wetlab_feedback:ROUND_010,cand_000304,,3,0.0,0.3585205291391078,1.5330693248584275,0.1230991577776128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,terminal_force_08mm_after_1N_v1,feasible_observed,
legacy_lit_1,legacy_literature,,96.0,,legacy_literature,1,1.41M dmso + 70.3mM ectoin + 300mM ethylene_glycol + 1mM taurine,4,1.407909893766799,0.0703432751828925,0.3,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,terminal_force_08mm_after_1N_v1,excluded_observed,missing_load
legacy_lit_2,legacy_literature,,12.5,,legacy_literature,2,0.25mM trehalose,0,0.0,0.0,0.0,0.0,0.0,0.00025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,terminal_force_08mm_after_1N_v1,excluded_observed,missing_load
legacy_lit_3,legacy_literature,,77.74,,legacy_literature,3,704mM dmso,1,0.7039549468833995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,terminal_force_08mm_after_1N_v1,excluded_observed,missing_load
legacy_lit_4,legacy_literature,,81.43333333333332,,legacy_literature,4,1.41M dmso,1,1.407909893766799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,terminal_force_08mm_after_1N_v1,excluded_observed,missing_load
