sample_index,time_s,displacement_mm,force_N,analysis_window,formulation_number,replicate_id,source_file_hash
0,0.0,0.0,-0.0008,False,1,mechanical_002,876a82dbf67375c031869ee285b46f05282b359882d403184d86d48008dd2714
1,0.025,0.0,-0.0006,False,1,mechanical_002,876a82dbf67375c031869ee285b46f05282b359882d403184d86d48008dd2714
2,0.05,0.0,-0.001,False,1,mechanical_002,876a82dbf67375c031869ee285b46f05282b359882d403184d86d48008dd2714
3,0.075,0.0,-0.0012,False,1,mechanical_002,876a82dbf67375c031869ee285b46f05282b359882d403184d86d48008dd2714
4,0.1,0.0,-0.0012,False,1,mechanical_002,876a82dbf67375c031869ee285b46f05282b359882d403184d86d48008dd2714
5,0.125,-0.0002,-0.0005,False,1,mechanical_002,876a82dbf67375c031869ee285b46f05282b359882d403184d86d48008dd2714
6,0.15,-0.0004,-0.0007,False,1,mechanical_002,876a82dbf67375c031869ee285b46f05282b359882d403184d86d48008dd2714
7,0.175,-0.0005,-0.0007,False,1,mechanical_002,876a82dbf67375c031869ee285b46f05282b359882d403184d86d48008dd2714
8,0.2,-0.0005,0.0,False,1,mechanical_002,876a82dbf67375c031869ee285b46f05282b359882d403184d86d48008dd2714
9,0.225,-0.0004,0.0007,False,1,mechanical_002,876a82dbf67375c031869ee285b46f05282b359882d403184d86d48008dd2714
10,0.25,-0.0004,-0.0001,False,1,mechanical_002,876a82dbf67375c031869ee285b46f05282b359882d403184d86d48008dd2714
11,0.275,-0.0003,-0.0004,False,1,mechanical_002,876a82dbf67375c031869ee285b46f05282b359882d403184d86d48008dd2714
12,0.3,-0.0003,-0.0014,False,1,mechanical_002,876a82dbf67375c031869ee285b46f05282b359882d403184d86d48008dd2714
13,0.325,-0.0002,-0.0004,False,1,mechanical_002,876a82dbf67375c031869ee285b46f05282b359882d403184d86d48008dd2714
14,0.35,0.0,0.0004,False,1,mechanical_002,876a82dbf67375c031869ee285b46f05282b359882d403184d86d48008dd2714
15,0.375,0.0001,-0.0009,False,1,mechanical_002,876a82dbf67375c031869ee285b46f05282b359882d403184d86d48008dd2714
16,0.4,0.0003,-0.0007,False,1,mechanical_002,876a82dbf67375c031869ee285b46f05282b359882d403184d86d48008dd2714
17,0.425,0.0005,0.0003,False,1,mechanical_002,876a82dbf67375c031869ee285b46f05282b359882d403184d86d48008dd2714
18,0.45,0.0007,0.0009,False,1,mechanical_002,876a82dbf67375c031869ee285b46f05282b359882d403184d86d48008dd2714
19,0.475,0.001,0.0002,False,1,mechanical_002,876a82dbf67375c031869ee285b46f05282b359882d403184d86d48008dd2714
20,0.5,0.0013,0.0,False,1,mechanical_002,876a82dbf67375c031869ee285b46f05282b359882d403184d86d48008dd2714
21,0.525,0.0017,0.0002,False,1,mechanical_002,876a82dbf67375c031869ee285b46f05282b359882d403184d86d48008dd2714
22,0.55,0.0022,-0.0001,False,1,mechanical_002,876a82dbf67375c031869ee285b46f05282b359882d403184d86d48008dd2714
23,0.575,0.0027,-0.0004,False,1,mechanical_002,876a82dbf67375c031869ee285b46f05282b359882d403184d86d48008dd2714
24,0.6,0.0032,0.0,False,1,mechanical_002,876a82dbf67375c031869ee285b46f05282b359882d403184d86d48008dd2714
25,0.625,0.0038,0.0008,False,1,mechanical_002,876a82dbf67375c031869ee285b46f05282b359882d403184d86d48008dd2714
26,0.65,0.0044,0.0018,False,1,mechanical_002,876a82dbf67375c031869ee285b46f05282b359882d403184d86d48008dd2714
27,0.675,0.0051,0.0011,False,1,mechanical_002,876a82dbf67375c031869ee285b46f05282b359882d403184d86d48008dd2714
28,0.7,0.0057,0.0006,False,1,mechanical_002,876a82dbf67375c031869ee285b46f05282b359882d403184d86d48008dd2714
29,0.725,0.0063,0.002,False,1,mechanical_002,876a82dbf67375c031869ee285b46f05282b359882d403184d86d48008dd2714
30,0.75,0.0068,0.0016,False,1,mechanical_002,876a82dbf67375c031869ee285b46f05282b359882d403184d86d48008dd2714
31,0.775,0.0074,-0.0007,False,1,mechanical_002,876a82dbf67375c031869ee285b46f05282b359882d403184d86d48008dd2714
32,0.8,0.0079,-0.0006,False,1,mechanical_002,876a82dbf67375c031869ee285b46f05282b359882d403184d86d48008dd2714
33,0.825,0.0083,0.0009,False,1,mechanical_002,876a82dbf67375c031869ee285b46f05282b359882d403184d86d48008dd2714
34,0.85,0.0088,0.0019,False,1,mechanical_002,876a82dbf67375c031869ee285b46f05282b359882d403184d86d48008dd2714
35,0.875,0.0091,0.0033,False,1,mechanical_002,876a82dbf67375c031869ee285b46f05282b359882d403184d86d48008dd2714
36,0.9,0.0095,0.002,False,1,mechanical_002,876a82dbf67375c031869ee285b46f05282b359882d403184d86d48008dd2714
37,0.925,0.0099,0.0009,False,1,mechanical_002,876a82dbf67375c031869ee285b46f05282b359882d403184d86d48008dd2714
38,0.95,0.0102,0.0001,False,1,mechanical_002,876a82dbf67375c031869ee285b46f05282b359882d403184d86d48008dd2714
39,0.975,0.0105,0.0006,False,1,mechanical_002,876a82dbf67375c031869ee285b46f05282b359882d403184d86d48008dd2714
40,1.0,0.0109,0.0004,False,1,mechanical_002,876a82dbf67375c031869ee285b46f05282b359882d403184d86d48008dd2714
41,1.025,0.0112,-0.0006,False,1,mechanical_002,876a82dbf67375c031869ee285b46f05282b359882d403184d86d48008dd2714
42,1.05,0.0115,0.0,False,1,mechanical_002,876a82dbf67375c031869ee285b46f05282b359882d403184d86d48008dd2714
43,1.075,0.0118,0.0009,False,1,mechanical_002,876a82dbf67375c031869ee285b46f05282b359882d403184d86d48008dd2714
44,1.1,0.0121,-0.0001,False,1,mechanical_002,876a82dbf67375c031869ee285b46f05282b359882d403184d86d48008dd2714
45,1.125,0.0125,0.0017,False,1,mechanical_002,876a82dbf67375c031869ee285b46f05282b359882d403184d86d48008dd2714
46,1.15,0.0128,0.0027,False,1,mechanical_002,876a82dbf67375c031869ee285b46f05282b359882d403184d86d48008dd2714
47,1.175,0.0131,0.0003,False,1,mechanical_002,876a82dbf67375c031869ee285b46f05282b359882d403184d86d48008dd2714
48,1.2,0.0134,0.0002,False,1,mechanical_002,876a82dbf67375c031869ee285b46f05282b359882d403184d86d48008dd2714
49,1.225,0.0137,0.0014,False,1,mechanical_002,876a82dbf67375c031869ee285b46f05282b359882d403184d86d48008dd2714
50,1.25,0.014,0.0027,False,1,mechanical_002,876a82dbf67375c031869ee285b46f05282b359882d403184d86d48008dd2714
51,1.275,0.0143,0.0024,False,1,mechanical_002,876a82dbf67375c031869ee285b46f05282b359882d403184d86d48008dd2714
52,1.3,0.0147,0.0017,False,1,mechanical_002,876a82dbf67375c031869ee285b46f05282b359882d403184d86d48008dd2714
53,1.325,0.015,0.004,False,1,mechanical_002,876a82dbf67375c031869ee285b46f05282b359882d403184d86d48008dd2714
54,1.35,0.0153,0.0055,False,1,mechanical_002,876a82dbf67375c031869ee285b46f05282b359882d403184d86d48008dd2714
55,1.375,0.0156,0.0041,False,1,mechanical_002,876a82dbf67375c031869ee285b46f05282b359882d403184d86d48008dd2714
56,1.4,0.0159,0.003,False,1,mechanical_002,876a82dbf67375c031869ee285b46f05282b359882d403184d86d48008dd2714
57,1.425,0.0162,0.0041,False,1,mechanical_002,876a82dbf67375c031869ee285b46f05282b359882d403184d86d48008dd2714
58,1.45,0.0165,0.0055,False,1,mechanical_002,876a82dbf67375c031869ee285b46f05282b359882d403184d86d48008dd2714
59,1.475,0.0168,0.0049,False,1,mechanical_002,876a82dbf67375c031869ee285b46f05282b359882d403184d86d48008dd2714
60,1.5,0.0171,0.005,False,1,mechanical_002,876a82dbf67375c031869ee285b46f05282b359882d403184d86d48008dd2714
61,1.525,0.0174,0.0039,False,1,mechanical_002,876a82dbf67375c031869ee285b46f05282b359882d403184d86d48008dd2714
62,1.55,0.0178,0.0017,False,1,mechanical_002,876a82dbf67375c031869ee285b46f05282b359882d403184d86d48008dd2714
63,1.575,0.0181,0.0033,False,1,mechanical_002,876a82dbf67375c031869ee285b46f05282b359882d403184d86d48008dd2714
64,1.6,0.0184,0.0042,False,1,mechanical_002,876a82dbf67375c031869ee285b46f05282b359882d403184d86d48008dd2714
65,1.625,0.0187,0.0035,False,1,mechanical_002,876a82dbf67375c031869ee285b46f05282b359882d403184d86d48008dd2714
66,1.65,0.019,0.0038,False,1,mechanical_002,876a82dbf67375c031869ee285b46f05282b359882d403184d86d48008dd2714
67,1.675,0.0193,0.0051,False,1,mechanical_002,876a82dbf67375c031869ee285b46f05282b359882d403184d86d48008dd2714
68,1.7,0.0196,0.0039,False,1,mechanical_002,876a82dbf67375c031869ee285b46f05282b359882d403184d86d48008dd2714
69,1.725,0.0199,0.0043,False,1,mechanical_002,876a82dbf67375c031869ee285b46f05282b359882d403184d86d48008dd2714
70,1.75,0.0203,0.0038,False,1,mechanical_002,876a82dbf67375c031869ee285b46f05282b359882d403184d86d48008dd2714
71,1.775,0.0206,0.0026,False,1,mechanical_002,876a82dbf67375c031869ee285b46f05282b359882d403184d86d48008dd2714
72,1.8,0.0209,0.0025,False,1,mechanical_002,876a82dbf67375c031869ee285b46f05282b359882d403184d86d48008dd2714
73,1.825,0.0212,0.0045,False,1,mechanical_002,876a82dbf67375c031869ee285b46f05282b359882d403184d86d48008dd2714
