Time,Displacement,Force,Compressive strain (Displacement)
(s),(mm),(N),(%)
"0.0000","0.0000","0.0025","0.0000"
"0.0250","0.0000","0.0012","0.0000"
"0.0500","0.0000","-0.0003","0.0000"
"0.0750","0.0000","-0.0005","0.0000"
"0.1000","0.0001","0.0022","0.0001"
"0.1250","0.0002","0.0022","0.0002"
"0.1500","0.0002","0.0009","0.0002"
"0.1750","0.0003","0.0006","0.0003"
"0.2000","0.0004","-0.0001","0.0004"
"0.2250","0.0005","0.0003","0.0005"
"0.2500","0.0007","-0.0011","0.0007"
"0.2750","0.0009","-0.0023","0.0009"
"0.3000","0.0011","-0.0008","0.0011"
"0.3250","0.0013","0.0004","0.0013"
"0.3500","0.0017","0.0011","0.0017"
"0.3750","0.0021","0.0002","0.0021"
"0.4000","0.0025","-0.0007","0.0025"
"0.4250","0.0030","-0.0015","0.0030"
"0.4500","0.0035","-0.0002","0.0035"
"0.4750","0.0041","0.0002","0.0041"
"0.5000","0.0046","0.0003","0.0046"
"0.5250","0.0052","0.0001","0.0052"
"0.5500","0.0056","-0.0006","0.0056"
"0.5750","0.0061","-0.0002","0.0061"
"0.6000","0.0064","-0.0013","0.0064"
"0.6250","0.0068","0.0005","0.0068"
"0.6500","0.0071","-0.0002","0.0071"
"0.6750","0.0074","-0.0009","0.0074"
"0.7000","0.0077","0.0000","0.0077"
"0.7250","0.0080","-0.0008","0.0080"
"0.7500","0.0083","0.0005","0.0083"
"0.7750","0.0086","0.0023","0.0086"
"0.8000","0.0090","0.0001","0.0090"
"0.8250","0.0093","-0.0004","0.0093"
"0.8500","0.0096","-0.0004","0.0096"
"0.8750","0.0099","-0.0003","0.0099"
"0.9000","0.0102","0.0017","0.0102"
"0.9250","0.0105","0.0007","0.0105"
"0.9500","0.0108","-0.0012","0.0108"
"0.9750","0.0111","-0.0004","0.0111"
"1.0000","0.0114","0.0003","0.0114"
"1.0250","0.0118","0.0013","0.0118"
"1.0500","0.0121","-0.0001","0.0121"
"1.0750","0.0124","-0.0015","0.0124"
"1.1000","0.0127","-0.0015","0.0127"
"1.1250","0.0129","0.0005","0.0129"
"1.1500","0.0132","-0.0001","0.0132"
