Time,Displacement,Force,Compressive strain (Displacement)
(s),(mm),(N),(%)
"0.0000","0.0000","-0.0004","0.0000"
"0.0250","0.0000","-0.0006","0.0000"
"0.0500","0.0000","-0.0017","0.0000"
"0.0750","0.0002","-0.0001","0.0002"
"0.1000","0.0004","-0.0001","0.0004"
"0.1250","0.0005","-0.0009","0.0005"
"0.1500","0.0006","-0.0005","0.0006"
"0.1750","0.0007","-0.0004","0.0007"
"0.2000","0.0008","-0.0001","0.0008"
"0.2250","0.0009","0.0002","0.0009"
"0.2500","0.0010","0.0006","0.0010"
"0.2750","0.0013","-0.0014","0.0013"
"0.3000","0.0015","-0.0019","0.0015"
"0.3250","0.0018","0.0002","0.0018"
"0.3500","0.0021","0.0008","0.0021"
"0.3750","0.0024","-0.0012","0.0024"
"0.4000","0.0028","0.0005","0.0028"
"0.4250","0.0033","0.0011","0.0033"
"0.4500","0.0037","0.0002","0.0037"
"0.4750","0.0042","-0.0013","0.0042"
"0.5000","0.0047","-0.0014","0.0047"
"0.5250","0.0052","-0.0006","0.0052"
"0.5500","0.0057","0.0012","0.0057"
"0.5750","0.0062","0.0016","0.0062"
"0.6000","0.0067","0.0000","0.0067"
"0.6250","0.0071","-0.0002","0.0071"
"0.6500","0.0075","-0.0003","0.0075"
"0.6750","0.0079","0.0013","0.0079"
"0.7000","0.0082","0.0020","0.0082"
"0.7250","0.0085","-0.0008","0.0085"
"0.7500","0.0088","-0.0008","0.0088"
"0.7750","0.0090","-0.0020","0.0090"
"0.8000","0.0093","-0.0014","0.0093"
"0.8250","0.0096","-0.0005","0.0096"
"0.8500","0.0099","0.0014","0.0099"
"0.8750","0.0102","0.0009","0.0102"
"0.9000","0.0106","-0.0004","0.0106"
"0.9250","0.0109","0.0003","0.0109"
"0.9500","0.0113","0.0001","0.0113"
"0.9750","0.0116","0.0013","0.0116"
"1.0000","0.0119","-0.0008","0.0119"
"1.0250","0.0123","-0.0017","0.0123"
"1.0500","0.0126","-0.0007","0.0126"
"1.0750","0.0129","-0.0003","0.0129"
"1.1000","0.0132","-0.0017","0.0132"
"1.1250","0.0135","-0.0005","0.0135"
"1.1500","0.0138","0.0008","0.0138"
"1.1750","0.0141","0.0019","0.0141"
"1.2000","0.0144","0.0020","0.0144"
"1.2250","0.0148","0.0009","0.0148"
"1.2500","0.0151","0.0004","0.0151"
"1.2750","0.0154","0.0000","0.0154"
"1.3000","0.0157","0.0004","0.0157"
"1.3250","0.0160","0.0006","0.0160"
"1.3500","0.0164","-0.0005","0.0164"
"1.3750","0.0167","-0.0011","0.0167"
"1.4000","0.0170","0.0008","0.0170"
"1.4250","0.0173","0.0015","0.0173"
"1.4500","0.0177","-0.0003","0.0177"
"1.4750","0.0180","0.0000","0.0180"
"1.5000","0.0183","0.0004","0.0183"
"1.5250","0.0186","-0.0005","0.0186"
"1.5500","0.0188","-0.0014","0.0188"
"1.5750","0.0191","0.0000","0.0191"
"1.6000","0.0194","-0.0005","0.0194"
"1.6250","0.0197","0.0003","0.0197"
"1.6500","0.0200","0.0019","0.0200"
"1.6750","0.0203","0.0015","0.0203"
"1.7000","0.0207","0.0007","0.0207"
"1.7250","0.0210","-0.0006","0.0210"
"1.7500","0.0213","-0.0006","0.0213"
"1.7750","0.0216","0.0001","0.0216"
"1.8000","0.0219","0.0009","0.0219"
"1.8250","0.0222","0.0000","0.0222"
"1.8500","0.0225","-0.0001","0.0225"
"1.8750","0.0228","-0.0008","0.0228"
"1.9000","0.0231","0.0010","0.0231"
"1.9250","0.0234","0.0009","0.0234"
"1.9500","0.0237","0.0012","0.0237"
"1.9750","0.0240","-0.0002","0.0240"
"2.0000","0.0243","-0.0009","0.0243"
"2.0250","0.0247","-0.0002","0.0247"
"2.0500","0.0250","0.0015","0.0250"
"2.0750","0.0253","0.0015","0.0253"
"2.1000","0.0256","0.0013","0.0256"
"2.1250","0.0259","0.0004","0.0259"
"2.1500","0.0262","-0.0001","0.0262"
"2.1750","0.0265","-0.0006","0.0265"
"2.2000","0.0268","-0.0009","0.0268"
"2.2250","0.0271","0.0010","0.0271"
"2.2500","0.0274","0.0016","0.0274"
"2.2750","0.0277","-0.0004","0.0277"
"2.3000","0.0280","0.0000","0.0280"
"2.3250","0.0283","0.0012","0.0283"
"2.3500","0.0287","-0.0002","0.0287"
"2.3750","0.0290","-0.0013","0.0290"
"2.4000","0.0293","0.0002","0.0293"
"2.4250","0.0296","0.0014","0.0296"
"2.4500","0.0299","0.0008","0.0299"
"2.4750","0.0302","-0.0008","0.0302"
"2.5000","0.0305","-0.0010","0.0305"
"2.5250","0.0308","0.0008","0.0308"
"2.5500","0.0311","-0.0002","0.0311"
"2.5750","0.0315","-0.0005","0.0315"
"2.6000","0.0318","-0.0005","0.0318"
"2.6250","0.0321","-0.0001","0.0321"
"2.6500","0.0324","-0.0003","0.0324"
"2.6750","0.0327","0.0008","0.0327"
"2.7000","0.0330","0.0008","0.0330"
"2.7250","0.0333","0.0003","0.0333"
"2.7500","0.0336","-0.0007","0.0336"
"2.7750","0.0339","-0.0020","0.0339"
"2.8000","0.0343","-0.0004","0.0343"
"2.8250","0.0346","0.0009","0.0346"
"2.8500","0.0349","0.0000","0.0349"
"2.8750","0.0352","-0.0009","0.0352"
"2.9000","0.0355","-0.0016","0.0355"
"2.9250","0.0358","0.0005","0.0358"
"2.9500","0.0362","0.0018","0.0362"
"2.9750","0.0365","0.0003","0.0365"
"3.0000","0.0368","-0.0019","0.0368"
"3.0250","0.0371","0.0000","0.0371"
"3.0500","0.0374","0.0015","0.0374"
"3.0750","0.0377","0.0000","0.0377"
"3.1000","0.0380","0.0008","0.0380"
"3.1250","0.0384","0.0001","0.0384"
"3.1500","0.0387","0.0018","0.0387"
"3.1750","0.0390","0.0012","0.0390"
"3.2000","0.0393","0.0008","0.0393"
"3.2250","0.0396","0.0009","0.0396"
"3.2500","0.0399","0.0013","0.0399"
"3.2750","0.0402","-0.0004","0.0402"
"3.3000","0.0405","-0.0009","0.0405"
"3.3250","0.0408","0.0016","0.0408"
"3.3500","0.0412","0.0016","0.0412"
"3.3750","0.0415","0.0003","0.0415"
"3.4000","0.0418","0.0011","0.0418"
"3.4250","0.0421","0.0010","0.0421"
"3.4500","0.0425","-0.0008","0.0425"
"3.4750","0.0428","-0.0005","0.0428"
"3.5000","0.0431","0.0000","0.0431"
"3.5250","0.0435","0.0017","0.0435"
"3.5500","0.0438","0.0009","0.0438"
"3.5750","0.0441","-0.0006","0.0441"
"3.6000","0.0445","0.0006","0.0445"
"3.6250","0.0448","0.0003","0.0448"
"3.6500","0.0451","0.0006","0.0451"
"3.6750","0.0454","-0.0008","0.0454"
"3.7000","0.0457","-0.0012","0.0457"
"3.7250","0.0461","0.0008","0.0461"
"3.7500","0.0464","0.0004","0.0464"
"3.7750","0.0467","0.0000","0.0467"
"3.8000","0.0470","-0.0007","0.0470"
"3.8250","0.0473","-0.0006","0.0473"
"3.8500","0.0476","-0.0005","0.0476"
"3.8750","0.0479","-0.0016","0.0479"
"3.9000","0.0482","-0.0014","0.0482"
"3.9250","0.0485","0.0000","0.0485"
"3.9500","0.0488","0.0003","0.0488"
"3.9750","0.0492","-0.0003","0.0492"
"4.0000","0.0495","-0.0001","0.0495"
"4.0250","0.0498","-0.0010","0.0498"
"4.0500","0.0501","-0.0021","0.0501"
"4.0750","0.0505","0.0005","0.0505"
"4.1000","0.0508","0.0002","0.0508"
"4.1250","0.0511","0.0000","0.0511"
"4.1500","0.0514","-0.0010","0.0514"
"4.1750","0.0517","-0.0015","0.0517"
"4.2000","0.0520","-0.0012","0.0520"
"4.2250","0.0523","-0.0001","0.0523"
"4.2500","0.0526","0.0006","0.0526"
"4.2750","0.0529","0.0020","0.0529"
"4.3000","0.0532","0.0007","0.0532"
"4.3250","0.0535","-0.0012","0.0535"
"4.3500","0.0538","-0.0020","0.0538"
"4.3750","0.0541","-0.0014","0.0541"
"4.4000","0.0544","0.0003","0.0544"
"4.4250","0.0547","0.0004","0.0547"
"4.4500","0.0550","0.0013","0.0550"
"4.4750","0.0553","-0.0001","0.0553"
"4.5000","0.0556","0.0011","0.0556"
"4.5250","0.0559","0.0008","0.0559"
"4.5500","0.0562","-0.0004","0.0562"
"4.5750","0.0565","-0.0007","0.0565"
"4.6000","0.0568","0.0011","0.0568"
"4.6250","0.0572","0.0012","0.0572"
"4.6500","0.0575","0.0010","0.0575"
"4.6750","0.0578","0.0001","0.0578"
"4.7000","0.0581","-0.0005","0.0581"
"4.7250","0.0584","-0.0014","0.0584"
"4.7500","0.0587","-0.0005","0.0587"
"4.7750","0.0590","-0.0004","0.0590"
"4.8000","0.0593","0.0018","0.0593"
"4.8250","0.0596","0.0002","0.0596"
"4.8500","0.0599","0.0000","0.0599"
"4.8750","0.0602","0.0009","0.0602"
"4.9000","0.0605","0.0003","0.0605"
"4.9250","0.0608","0.0002","0.0608"
"4.9500","0.0611","0.0011","0.0611"
"4.9750","0.0614","-0.0012","0.0614"
"5.0000","0.0618","-0.0023","0.0618"
"5.0250","0.0621","-0.0017","0.0621"
"5.0500","0.0624","-0.0001","0.0624"
"5.0750","0.0627","0.0017","0.0627"
"5.1000","0.0630","0.0012","0.0630"
"5.1250","0.0633","-0.0003","0.0633"
"5.1500","0.0636","-0.0002","0.0636"
"5.1750","0.0639","-0.0001","0.0639"
"5.2000","0.0642","-0.0007","0.0642"
"5.2250","0.0645","0.0006","0.0645"
"5.2500","0.0648","-0.0005","0.0648"
"5.2750","0.0651","0.0004","0.0651"
"5.3000","0.0654","0.0012","0.0654"
"5.3250","0.0656","0.0016","0.0656"
"5.3500","0.0659","-0.0001","0.0659"
"5.3750","0.0662","0.0000","0.0662"
"5.4000","0.0665","-0.0001","0.0665"
"5.4250","0.0668","0.0001","0.0668"
"5.4500","0.0671","0.0010","0.0671"
"5.4750","0.0674","0.0003","0.0674"
"5.5000","0.0678","0.0009","0.0678"
"5.5250","0.0681","0.0008","0.0681"
"5.5500","0.0684","0.0000","0.0684"
"5.5750","0.0687","-0.0009","0.0687"
"5.6000","0.0690","0.0011","0.0690"
"5.6250","0.0693","0.0021","0.0693"
"5.6500","0.0696","0.0002","0.0696"
"5.6750","0.0699","0.0006","0.0699"
"5.7000","0.0702","0.0007","0.0702"
"5.7250","0.0705","-0.0003","0.0705"
"5.7500","0.0708","-0.0005","0.0708"
"5.7750","0.0711","-0.0007","0.0711"
"5.8000","0.0714","-0.0004","0.0714"
"5.8250","0.0717","-0.0009","0.0717"
"5.8500","0.0720","-0.0001","0.0720"
"5.8750","0.0723","-0.0017","0.0723"
"5.9000","0.0727","-0.0002","0.0727"
"5.9250","0.0730","0.0008","0.0730"
"5.9500","0.0733","0.0001","0.0733"
"5.9750","0.0736","0.0008","0.0736"
"6.0000","0.0739","-0.0007","0.0739"
"6.0250","0.0742","0.0006","0.0742"
"6.0500","0.0745","0.0015","0.0745"
"6.0750","0.0748","0.0011","0.0748"
"6.1000","0.0751","0.0005","0.0751"
"6.1250","0.0754","-0.0010","0.0754"
"6.1500","0.0758","0.0011","0.0758"
"6.1750","0.0761","0.0006","0.0761"
"6.2000","0.0764","0.0003","0.0764"
"6.2250","0.0767","0.0012","0.0767"
"6.2500","0.0770","0.0011","0.0770"
"6.2750","0.0773","-0.0009","0.0773"
"6.3000","0.0777","0.0002","0.0777"
"6.3250","0.0780","0.0015","0.0780"
"6.3500","0.0783","0.0009","0.0783"
"6.3750","0.0786","0.0010","0.0786"
"6.4000","0.0789","0.0022","0.0789"
"6.4250","0.0793","0.0018","0.0793"
"6.4500","0.0796","0.0006","0.0796"
"6.4750","0.0799","0.0000","0.0799"
"6.5000","0.0802","-0.0007","0.0802"
"6.5250","0.0806","-0.0003","0.0806"
"6.5500","0.0809","0.0003","0.0809"
"6.5750","0.0812","-0.0002","0.0812"
"6.6000","0.0815","-0.0001","0.0815"
"6.6250","0.0819","0.0001","0.0819"
"6.6500","0.0822","-0.0009","0.0822"
"6.6750","0.0825","-0.0005","0.0825"
"6.7000","0.0828","-0.0017","0.0828"
"6.7250","0.0831","-0.0002","0.0831"
"6.7500","0.0834","-0.0005","0.0834"
"6.7750","0.0837","-0.0001","0.0837"
"6.8000","0.0841","0.0009","0.0841"
"6.8250","0.0844","-0.0001","0.0844"
"6.8500","0.0847","-0.0005","0.0847"
"6.8750","0.0850","0.0003","0.0850"
"6.9000","0.0853","0.0017","0.0853"
"6.9250","0.0857","0.0009","0.0857"
"6.9500","0.0860","-0.0003","0.0860"
"6.9750","0.0863","0.0001","0.0863"
"7.0000","0.0866","-0.0013","0.0866"
"7.0250","0.0869","-0.0009","0.0869"
"7.0500","0.0872","-0.0009","0.0872"
"7.0750","0.0875","-0.0007","0.0875"
"7.1000","0.0879","-0.0004","0.0879"
"7.1250","0.0882","-0.0003","0.0882"
"7.1500","0.0885","-0.0006","0.0885"
"7.1750","0.0888","0.0015","0.0888"
"7.2000","0.0891","0.0003","0.0891"
"7.2250","0.0894","0.0002","0.0894"
"7.2500","0.0898","-0.0013","0.0898"
"7.2750","0.0901","-0.0021","0.0901"
"7.3000","0.0904","-0.0009","0.0904"
"7.3250","0.0907","-0.0001","0.0907"
"7.3500","0.0911","-0.0005","0.0911"
"7.3750","0.0914","0.0013","0.0914"
"7.4000","0.0917","0.0005","0.0917"
"7.4250","0.0921","0.0008","0.0921"
"7.4500","0.0924","0.0004","0.0924"
"7.4750","0.0927","0.0007","0.0927"
"7.5000","0.0930","0.0009","0.0930"
"7.5250","0.0933","0.0012","0.0933"
"7.5500","0.0936","0.0008","0.0936"
"7.5750","0.0939","-0.0001","0.0939"
"7.6000","0.0942","0.0006","0.0942"
"7.6250","0.0946","0.0002","0.0946"
"7.6500","0.0949","-0.0008","0.0949"
"7.6750","0.0952","0.0001","0.0952"
"7.7000","0.0955","0.0003","0.0955"
"7.7250","0.0958","-0.0007","0.0958"
"7.7500","0.0961","0.0001","0.0961"
"7.7750","0.0965","0.0008","0.0965"
"7.8000","0.0968","-0.0001","0.0968"
"7.8250","0.0971","-0.0013","0.0971"
"7.8500","0.0974","-0.0003","0.0974"
"7.8750","0.0977","0.0004","0.0977"
"7.9000","0.0980","0.0006","0.0980"
"7.9250","0.0983","-0.0007","0.0983"
"7.9500","0.0986","0.0004","0.0986"
"7.9750","0.0989","0.0013","0.0989"
"8.0000","0.0992","0.0005","0.0992"
"8.0250","0.0995","0.0001","0.0995"
"8.0500","0.0998","-0.0004","0.0998"
"8.0750","0.1001","-0.0006","0.1001"
"8.1000","0.1003","-0.0005","0.1003"
"8.1250","0.1006","0.0003","0.1006"
"8.1500","0.1009","0.0001","0.1009"
"8.1750","0.1012","0.0000","0.1012"
"8.2000","0.1014","0.0000","0.1014"
"8.2250","0.1017","0.0015","0.1017"
"8.2500","0.1020","-0.0004","0.1020"
"8.2750","0.1023","-0.0016","0.1023"
"8.3000","0.1026","0.0007","0.1026"
"8.3250","0.1029","0.0004","0.1029"
"8.3500","0.1032","-0.0005","0.1032"
"8.3750","0.1036","0.0001","0.1036"
"8.4000","0.1039","0.0006","0.1039"
"8.4250","0.1042","0.0010","0.1042"
"8.4500","0.1046","0.0003","0.1046"
"8.4750","0.1049","-0.0005","0.1049"
"8.5000","0.1052","0.0002","0.1052"
"8.5250","0.1056","0.0003","0.1056"
"8.5500","0.1059","-0.0005","0.1059"
"8.5750","0.1062","0.0003","0.1062"
"8.6000","0.1065","0.0008","0.1065"
"8.6250","0.1068","0.0000","0.1068"
"8.6500","0.1071","0.0004","0.1071"
"8.6750","0.1074","0.0006","0.1074"
"8.7000","0.1077","0.0002","0.1077"
"8.7250","0.1081","0.0000","0.1081"
"8.7500","0.1084","-0.0003","0.1084"
"8.7750","0.1087","-0.0010","0.1087"
"8.8000","0.1090","-0.0002","0.1090"
"8.8250","0.1094","0.0006","0.1094"
"8.8500","0.1097","0.0010","0.1097"
"8.8750","0.1100","0.0005","0.1100"
"8.9000","0.1103","-0.0009","0.1103"
"8.9250","0.1106","0.0002","0.1106"
"8.9500","0.1109","0.0021","0.1109"
"8.9750","0.1112","0.0009","0.1112"
"9.0000","0.1115","-0.0005","0.1115"
"9.0250","0.1118","-0.0027","0.1118"
"9.0500","0.1122","0.0000","0.1122"
"9.0750","0.1125","-0.0004","0.1125"
"9.1000","0.1128","-0.0010","0.1128"
"9.1250","0.1131","-0.0007","0.1131"
"9.1500","0.1135","-0.0019","0.1135"
"9.1750","0.1138","-0.0023","0.1138"
"9.2000","0.1141","-0.0006","0.1141"
"9.2250","0.1144","-0.0012","0.1144"
"9.2500","0.1147","-0.0011","0.1147"
"9.2750","0.1150","0.0003","0.1150"
"9.3000","0.1153","0.0011","0.1153"
"9.3250","0.1155","0.0026","0.1155"
"9.3500","0.1158","0.0017","0.1158"
"9.3750","0.1161","0.0009","0.1161"
"9.4000","0.1165","0.0002","0.1165"
"9.4250","0.1168","0.0000","0.1168"
"9.4500","0.1171","0.0005","0.1171"
"9.4750","0.1174","0.0005","0.1174"
"9.5000","0.1177","0.0007","0.1177"
"9.5250","0.1180","0.0002","0.1180"
"9.5500","0.1183","0.0002","0.1183"
"9.5750","0.1186","-0.0005","0.1186"
"9.6000","0.1189","0.0009","0.1189"
"9.6250","0.1192","0.0023","0.1192"
"9.6500","0.1195","0.0001","0.1195"
"9.6750","0.1198","-0.0006","0.1198"
"9.7000","0.1201","-0.0003","0.1201"
"9.7250","0.1204","-0.0014","0.1204"
"9.7500","0.1207","-0.0011","0.1207"
"9.7750","0.1210","-0.0008","0.1210"
"9.8000","0.1213","-0.0006","0.1213"
"9.8250","0.1217","0.0010","0.1217"
