Time,Displacement,Force,Compressive strain (Displacement)
(s),(mm),(N),(%)
"0.0000","0.0000","-0.0061","0.0000"
"0.0250","0.0000","-0.0083","0.0000"
"0.0500","0.0000","-0.0072","0.0000"
"0.0750","0.0001","-0.0027","0.0001"
"0.1000","0.0010","-0.0071","0.0010"
"0.1250","0.0016","-0.0054","0.0016"
"0.1500","0.0017","-0.0037","0.0017"
"0.1750","0.0017","-0.0042","0.0017"
"0.2000","0.0017","-0.0066","0.0017"
"0.2250","0.0018","-0.0060","0.0018"
"0.2500","0.0019","-0.0045","0.0019"
"0.2750","0.0020","-0.0044","0.0020"
"0.3000","0.0021","-0.0029","0.0021"
"0.3250","0.0024","-0.0025","0.0024"
"0.3500","0.0026","-0.0036","0.0026"
"0.3750","0.0029","-0.0034","0.0029"
"0.4000","0.0033","-0.0021","0.0033"
"0.4250","0.0037","-0.0001","0.0037"
"0.4500","0.0041","-0.0001","0.0041"
"0.4750","0.0046","0.0011","0.0046"
"0.5000","0.0050","0.0038","0.0050"
"0.5250","0.0055","0.0065","0.0055"
"0.5500","0.0059","0.0068","0.0059"
"0.5750","0.0063","0.0071","0.0063"
"0.6000","0.0066","0.0080","0.0066"
"0.6250","0.0069","0.0084","0.0069"
"0.6500","0.0073","0.0096","0.0073"
"0.6750","0.0076","0.0106","0.0076"
"0.7000","0.0079","0.0120","0.0079"
"0.7250","0.0082","0.0116","0.0082"
"0.7500","0.0085","0.0115","0.0085"
"0.7750","0.0088","0.0135","0.0088"
"0.8000","0.0091","0.0153","0.0091"
"0.8250","0.0094","0.0167","0.0094"
"0.8500","0.0098","0.0164","0.0098"
"0.8750","0.0101","0.0156","0.0101"
"0.9000","0.0104","0.0165","0.0104"
"0.9250","0.0107","0.0176","0.0107"
"0.9500","0.0110","0.0177","0.0110"
"0.9750","0.0114","0.0172","0.0114"
"1.0000","0.0117","0.0183","0.0117"
"1.0250","0.0120","0.0198","0.0120"
"1.0500","0.0123","0.0216","0.0123"
"1.0750","0.0125","0.0210","0.0125"
"1.1000","0.0128","0.0197","0.0128"
"1.1250","0.0131","0.0204","0.0131"
"1.1500","0.0134","0.0242","0.0134"
"1.1750","0.0137","0.0271","0.0137"
"1.2000","0.0141","0.0296","0.0141"
"1.2250","0.0144","0.0300","0.0144"
"1.2500","0.0147","0.0304","0.0147"
"1.2750","0.0150","0.0308","0.0150"
"1.3000","0.0154","0.0327","0.0154"
