Time,Displacement,Force,Compressive strain (Displacement)
(s),(mm),(N),(%)
"0.0000","0.0000","0.0011","0.0000"
"0.0250","0.0000","-0.0007","0.0000"
"0.0500","0.0000","0.0000","0.0000"
"0.0750","0.0000","0.0004","0.0000"
"0.1000","-0.0003","-0.0028","-0.0003"
"0.1250","-0.0016","0.0028","-0.0016"
"0.1500","-0.0022","0.0011","-0.0022"
"0.1750","-0.0022","-0.0004","-0.0022"
"0.2000","-0.0021","-0.0012","-0.0021"
"0.2250","-0.0020","-0.0006","-0.0020"
"0.2500","-0.0019","-0.0021","-0.0019"
"0.2750","-0.0017","-0.0011","-0.0017"
"0.3000","-0.0015","-0.0010","-0.0015"
"0.3250","-0.0013","-0.0003","-0.0013"
"0.3500","-0.0011","-0.0012","-0.0011"
"0.3750","-0.0007","-0.0016","-0.0007"
"0.4000","-0.0003","-0.0011","-0.0003"
"0.4250","0.0001","-0.0002","0.0001"
"0.4500","0.0006","-0.0006","0.0006"
"0.4750","0.0012","-0.0008","0.0012"
"0.5000","0.0019","0.0000","0.0019"
"0.5250","0.0026","0.0016","0.0026"
"0.5500","0.0035","0.0023","0.0035"
"0.5750","0.0043","0.0043","0.0043"
"0.6000","0.0050","0.0036","0.0050"
"0.6250","0.0057","0.0031","0.0057"
"0.6500","0.0063","0.0029","0.0063"
"0.6750","0.0068","0.0027","0.0068"
"0.7000","0.0072","0.0025","0.0072"
"0.7250","0.0076","0.0039","0.0076"
"0.7500","0.0080","0.0042","0.0080"
"0.7750","0.0083","0.0025","0.0083"
"0.8000","0.0087","0.0029","0.0087"
"0.8250","0.0090","0.0030","0.0090"
"0.8500","0.0093","0.0036","0.0093"
"0.8750","0.0096","0.0027","0.0096"
"0.9000","0.0099","0.0022","0.0099"
"0.9250","0.0102","0.0027","0.0102"
"0.9500","0.0105","0.0034","0.0105"
"0.9750","0.0108","0.0029","0.0108"
"1.0000","0.0111","0.0041","0.0111"
"1.0250","0.0114","0.0045","0.0114"
"1.0500","0.0118","0.0032","0.0118"
"1.0750","0.0121","0.0031","0.0121"
"1.1000","0.0124","0.0032","0.0124"
"1.1250","0.0127","0.0050","0.0127"
"1.1500","0.0130","0.0064","0.0130"
"1.1750","0.0133","0.0054","0.0133"
"1.2000","0.0136","0.0061","0.0136"
"1.2250","0.0139","0.0052","0.0139"
"1.2500","0.0142","0.0059","0.0142"
"1.2750","0.0145","0.0050","0.0145"
"1.3000","0.0149","0.0050","0.0149"
"1.3250","0.0152","0.0055","0.0152"
"1.3500","0.0155","0.0082","0.0155"
"1.3750","0.0158","0.0069","0.0158"
"1.4000","0.0161","0.0077","0.0161"
"1.4250","0.0165","0.0087","0.0165"
"1.4500","0.0168","0.0101","0.0168"
"1.4750","0.0171","0.0112","0.0171"
"1.5000","0.0174","0.0114","0.0174"
"1.5250","0.0177","0.0123","0.0177"
"1.5500","0.0180","0.0121","0.0180"
"1.5750","0.0183","0.0139","0.0183"
"1.6000","0.0186","0.0138","0.0186"
"1.6250","0.0189","0.0124","0.0189"
"1.6500","0.0193","0.0153","0.0193"
"1.6750","0.0196","0.0162","0.0196"
"1.7000","0.0199","0.0168","0.0199"
"1.7250","0.0202","0.0187","0.0202"
"1.7500","0.0205","0.0185","0.0205"
"1.7750","0.0208","0.0194","0.0208"
"1.8000","0.0211","0.0203","0.0211"
"1.8250","0.0214","0.0211","0.0214"
"1.8500","0.0217","0.0216","0.0217"
"1.8750","0.0221","0.0217","0.0221"
"1.9000","0.0224","0.0216","0.0224"
"1.9250","0.0227","0.0240","0.0227"
"1.9500","0.0230","0.0240","0.0230"
"1.9750","0.0233","0.0244","0.0233"
"2.0000","0.0236","0.0246","0.0236"
"2.0250","0.0239","0.0259","0.0239"
"2.0500","0.0243","0.0257","0.0243"
"2.0750","0.0246","0.0270","0.0246"
"2.1000","0.0249","0.0274","0.0249"
"2.1250","0.0252","0.0268","0.0252"
"2.1500","0.0255","0.0275","0.0255"
"2.1750","0.0258","0.0285","0.0258"
"2.2000","0.0261","0.0283","0.0261"
"2.2250","0.0264","0.0287","0.0264"
"2.2500","0.0267","0.0307","0.0267"
"2.2750","0.0270","0.0310","0.0270"
"2.3000","0.0274","0.0321","0.0274"
"2.3250","0.0277","0.0324","0.0277"
"2.3500","0.0280","0.0321","0.0280"
"2.3750","0.0283","0.0321","0.0283"
"2.4000","0.0286","0.0321","0.0286"
"2.4250","0.0289","0.0331","0.0289"
"2.4500","0.0293","0.0345","0.0293"
"2.4750","0.0296","0.0354","0.0296"
"2.5000","0.0299","0.0358","0.0299"
"2.5250","0.0302","0.0356","0.0302"
"2.5500","0.0305","0.0356","0.0305"
"2.5750","0.0308","0.0356","0.0308"
"2.6000","0.0312","0.0366","0.0312"
"2.6250","0.0315","0.0366","0.0315"
"2.6500","0.0318","0.0365","0.0318"
"2.6750","0.0321","0.0364","0.0321"
"2.7000","0.0324","0.0369","0.0324"
"2.7250","0.0327","0.0366","0.0327"
"2.7500","0.0330","0.0373","0.0330"
"2.7750","0.0334","0.0376","0.0334"
"2.8000","0.0337","0.0382","0.0337"
"2.8250","0.0340","0.0391","0.0340"
"2.8500","0.0343","0.0388","0.0343"
"2.8750","0.0346","0.0388","0.0346"
"2.9000","0.0349","0.0401","0.0349"
"2.9250","0.0352","0.0405","0.0352"
"2.9500","0.0356","0.0426","0.0356"
"2.9750","0.0359","0.0447","0.0359"
"3.0000","0.0362","0.0459","0.0362"
"3.0250","0.0366","0.0464","0.0366"
"3.0500","0.0370","0.0479","0.0370"
"3.0750","0.0374","0.0490","0.0374"
"3.1000","0.0378","0.0494","0.0378"
"3.1250","0.0381","0.0503","0.0381"
"3.1500","0.0384","0.0501","0.0384"
"3.1750","0.0387","0.0492","0.0387"
"3.2000","0.0390","0.0499","0.0390"
"3.2250","0.0392","0.0506","0.0392"
"3.2500","0.0395","0.0502","0.0395"
"3.2750","0.0398","0.0506","0.0398"
"3.3000","0.0401","0.0514","0.0401"
"3.3250","0.0404","0.0509","0.0404"
"3.3500","0.0407","0.0522","0.0407"
"3.3750","0.0410","0.0531","0.0410"
"3.4000","0.0414","0.0545","0.0414"
"3.4250","0.0417","0.0566","0.0417"
"3.4500","0.0420","0.0569","0.0420"
"3.4750","0.0424","0.0568","0.0424"
"3.5000","0.0427","0.0577","0.0427"
"3.5250","0.0430","0.0584","0.0430"
"3.5500","0.0434","0.0582","0.0434"
"3.5750","0.0437","0.0590","0.0437"
"3.6000","0.0440","0.0610","0.0440"
"3.6250","0.0444","0.0621","0.0444"
"3.6500","0.0447","0.0590","0.0447"
"3.6750","0.0449","0.0506","0.0449"
"3.7000","0.0452","0.0431","0.0452"
"3.7250","0.0455","0.0430","0.0455"
"3.7500","0.0458","0.0485","0.0458"
"3.7750","0.0461","0.0565","0.0461"
"3.8000","0.0464","0.0651","0.0464"
"3.8250","0.0467","0.0710","0.0467"
"3.8500","0.0470","0.0732","0.0470"
"3.8750","0.0473","0.0735","0.0473"
"3.9000","0.0476","0.0693","0.0476"
"3.9250","0.0480","0.0637","0.0480"
"3.9500","0.0483","0.0611","0.0483"
"3.9750","0.0486","0.0589","0.0486"
"4.0000","0.0489","0.0587","0.0489"
"4.0250","0.0492","0.0619","0.0492"
"4.0500","0.0495","0.0645","0.0495"
"4.0750","0.0498","0.0656","0.0498"
"4.1000","0.0501","0.0662","0.0501"
"4.1250","0.0505","0.0668","0.0505"
"4.1500","0.0508","0.0667","0.0508"
"4.1750","0.0511","0.0668","0.0511"
"4.2000","0.0514","0.0663","0.0514"
"4.2250","0.0518","0.0656","0.0518"
"4.2500","0.0521","0.0661","0.0521"
"4.2750","0.0524","0.0661","0.0524"
"4.3000","0.0527","0.0658","0.0527"
"4.3250","0.0529","0.0677","0.0529"
"4.3500","0.0532","0.0683","0.0532"
"4.3750","0.0535","0.0700","0.0535"
"4.4000","0.0538","0.0703","0.0538"
"4.4250","0.0542","0.0707","0.0542"
"4.4500","0.0545","0.0716","0.0545"
