Time,Displacement,Force,Compressive strain (Displacement)
(s),(mm),(N),(%)
"0.0000","0.0000","-0.0008","0.0000"
"0.0250","0.0000","-0.0006","0.0000"
"0.0500","0.0000","-0.0010","0.0000"
"0.0750","0.0000","-0.0012","0.0000"
"0.1000","0.0000","-0.0012","0.0000"
"0.1250","-0.0002","-0.0005","-0.0002"
"0.1500","-0.0004","-0.0007","-0.0004"
"0.1750","-0.0005","-0.0007","-0.0005"
"0.2000","-0.0005","0.0000","-0.0005"
"0.2250","-0.0004","0.0007","-0.0004"
"0.2500","-0.0004","-0.0001","-0.0004"
"0.2750","-0.0003","-0.0004","-0.0003"
"0.3000","-0.0003","-0.0014","-0.0003"
"0.3250","-0.0002","-0.0004","-0.0002"
"0.3500","0.0000","0.0004","0.0000"
"0.3750","0.0001","-0.0009","0.0001"
"0.4000","0.0003","-0.0007","0.0003"
"0.4250","0.0005","0.0003","0.0005"
"0.4500","0.0007","0.0009","0.0007"
"0.4750","0.0010","0.0002","0.0010"
"0.5000","0.0013","0.0000","0.0013"
"0.5250","0.0017","0.0002","0.0017"
"0.5500","0.0022","-0.0001","0.0022"
"0.5750","0.0027","-0.0004","0.0027"
"0.6000","0.0032","0.0000","0.0032"
"0.6250","0.0038","0.0008","0.0038"
"0.6500","0.0044","0.0018","0.0044"
"0.6750","0.0051","0.0011","0.0051"
"0.7000","0.0057","0.0006","0.0057"
"0.7250","0.0063","0.0020","0.0063"
"0.7500","0.0068","0.0016","0.0068"
"0.7750","0.0074","-0.0007","0.0074"
"0.8000","0.0079","-0.0006","0.0079"
"0.8250","0.0083","0.0009","0.0083"
"0.8500","0.0088","0.0019","0.0088"
"0.8750","0.0091","0.0033","0.0091"
"0.9000","0.0095","0.0020","0.0095"
"0.9250","0.0099","0.0009","0.0099"
"0.9500","0.0102","0.0001","0.0102"
"0.9750","0.0105","0.0006","0.0105"
"1.0000","0.0109","0.0004","0.0109"
"1.0250","0.0112","-0.0006","0.0112"
"1.0500","0.0115","0.0000","0.0115"
"1.0750","0.0118","0.0009","0.0118"
"1.1000","0.0121","-0.0001","0.0121"
"1.1250","0.0125","0.0017","0.0125"
"1.1500","0.0128","0.0027","0.0128"
"1.1750","0.0131","0.0003","0.0131"
"1.2000","0.0134","0.0002","0.0134"
"1.2250","0.0137","0.0014","0.0137"
"1.2500","0.0140","0.0027","0.0140"
"1.2750","0.0143","0.0024","0.0143"
"1.3000","0.0147","0.0017","0.0147"
"1.3250","0.0150","0.0040","0.0150"
"1.3500","0.0153","0.0055","0.0153"
"1.3750","0.0156","0.0041","0.0156"
"1.4000","0.0159","0.0030","0.0159"
"1.4250","0.0162","0.0041","0.0162"
"1.4500","0.0165","0.0055","0.0165"
"1.4750","0.0168","0.0049","0.0168"
"1.5000","0.0171","0.0050","0.0171"
"1.5250","0.0174","0.0039","0.0174"
"1.5500","0.0178","0.0017","0.0178"
"1.5750","0.0181","0.0033","0.0181"
"1.6000","0.0184","0.0042","0.0184"
"1.6250","0.0187","0.0035","0.0187"
"1.6500","0.0190","0.0038","0.0190"
"1.6750","0.0193","0.0051","0.0193"
"1.7000","0.0196","0.0039","0.0196"
"1.7250","0.0199","0.0043","0.0199"
"1.7500","0.0203","0.0038","0.0203"
"1.7750","0.0206","0.0026","0.0206"
"1.8000","0.0209","0.0025","0.0209"
"1.8250","0.0212","0.0045","0.0212"
"1.8500","0.0215","0.0051","0.0215"
"1.8750","0.0218","0.0047","0.0218"
"1.9000","0.0222","0.0045","0.0222"
"1.9250","0.0225","0.0053","0.0225"
"1.9500","0.0228","0.0076","0.0228"
"1.9750","0.0231","0.0075","0.0231"
"2.0000","0.0234","0.0081","0.0234"
"2.0250","0.0237","0.0078","0.0237"
"2.0500","0.0240","0.0090","0.0240"
"2.0750","0.0243","0.0095","0.0243"
"2.1000","0.0246","0.0106","0.0246"
"2.1250","0.0249","0.0090","0.0249"
"2.1500","0.0252","0.0108","0.0252"
"2.1750","0.0256","0.0110","0.0256"
"2.2000","0.0259","0.0098","0.0259"
"2.2250","0.0262","0.0103","0.0262"
"2.2500","0.0265","0.0101","0.0265"
"2.2750","0.0268","0.0127","0.0268"
"2.3000","0.0271","0.0127","0.0271"
"2.3250","0.0274","0.0116","0.0274"
"2.3500","0.0278","0.0103","0.0278"
"2.3750","0.0281","0.0102","0.0281"
"2.4000","0.0284","0.0095","0.0284"
"2.4250","0.0287","0.0088","0.0287"
"2.4500","0.0290","0.0103","0.0290"
"2.4750","0.0293","0.0116","0.0293"
"2.5000","0.0296","0.0115","0.0296"
"2.5250","0.0299","0.0119","0.0299"
"2.5500","0.0303","0.0108","0.0303"
"2.5750","0.0306","0.0114","0.0306"
"2.6000","0.0309","0.0122","0.0309"
"2.6250","0.0312","0.0115","0.0312"
"2.6500","0.0315","0.0132","0.0315"
"2.6750","0.0318","0.0117","0.0318"
"2.7000","0.0321","0.0122","0.0321"
"2.7250","0.0324","0.0142","0.0324"
"2.7500","0.0327","0.0161","0.0327"
"2.7750","0.0330","0.0135","0.0330"
"2.8000","0.0333","0.0140","0.0333"
"2.8250","0.0336","0.0154","0.0336"
"2.8500","0.0339","0.0158","0.0339"
"2.8750","0.0343","0.0164","0.0343"
"2.9000","0.0346","0.0157","0.0346"
"2.9250","0.0349","0.0161","0.0349"
"2.9500","0.0352","0.0180","0.0352"
"2.9750","0.0356","0.0145","0.0356"
"3.0000","0.0359","0.0096","0.0359"
"3.0250","0.0362","0.0080","0.0362"
"3.0500","0.0365","0.0086","0.0365"
"3.0750","0.0368","0.0114","0.0368"
"3.1000","0.0371","0.0122","0.0371"
"3.1250","0.0374","0.0127","0.0374"
"3.1500","0.0377","0.0122","0.0377"
"3.1750","0.0380","0.0141","0.0380"
"3.2000","0.0383","0.0137","0.0383"
"3.2250","0.0386","0.0137","0.0386"
"3.2500","0.0390","0.0145","0.0390"
"3.2750","0.0393","0.0156","0.0393"
"3.3000","0.0396","0.0154","0.0396"
"3.3250","0.0399","0.0170","0.0399"
"3.3500","0.0403","0.0165","0.0403"
"3.3750","0.0406","0.0161","0.0406"
"3.4000","0.0409","0.0148","0.0409"
"3.4250","0.0412","0.0145","0.0412"
"3.4500","0.0415","0.0123","0.0415"
"3.4750","0.0418","0.0077","0.0418"
"3.5000","0.0421","0.0067","0.0421"
"3.5250","0.0425","0.0072","0.0425"
"3.5500","0.0428","0.0072","0.0428"
"3.5750","0.0431","0.0067","0.0431"
"3.6000","0.0434","0.0078","0.0434"
"3.6250","0.0437","0.0061","0.0437"
"3.6500","0.0440","0.0065","0.0440"
"3.6750","0.0443","0.0074","0.0443"
"3.7000","0.0447","0.0066","0.0447"
"3.7250","0.0450","0.0079","0.0450"
"3.7500","0.0453","0.0091","0.0453"
