Time,Displacement,Force,Compressive strain (Displacement)
(s),(mm),(N),(%)
"0.0000","0.0000","0.0012","0.0000"
"0.0250","0.0000","0.0017","0.0000"
"0.0500","0.0000","-0.0001","0.0000"
"0.0750","0.0000","0.0006","0.0000"
"0.1000","0.0000","-0.0010","0.0000"
"0.1250","-0.0002","-0.0024","-0.0002"
"0.1500","-0.0003","-0.0003","-0.0003"
"0.1750","-0.0003","0.0005","-0.0003"
"0.2000","-0.0003","0.0009","-0.0003"
"0.2250","-0.0002","-0.0003","-0.0002"
"0.2500","-0.0002","-0.0021","-0.0002"
"0.2750","-0.0001","-0.0003","-0.0001"
"0.3000","0.0000","0.0008","0.0000"
"0.3250","0.0001","0.0006","0.0001"
"0.3500","0.0002","0.0002","0.0002"
"0.3750","0.0004","-0.0001","0.0004"
"0.4000","0.0006","0.0008","0.0006"
"0.4250","0.0008","0.0005","0.0008"
"0.4500","0.0011","-0.0001","0.0011"
"0.4750","0.0014","0.0005","0.0014"
"0.5000","0.0018","0.0000","0.0018"
"0.5250","0.0022","-0.0007","0.0022"
"0.5500","0.0027","0.0000","0.0027"
"0.5750","0.0031","-0.0014","0.0031"
"0.6000","0.0036","0.0001","0.0036"
"0.6250","0.0042","0.0001","0.0042"
"0.6500","0.0049","0.0010","0.0049"
"0.6750","0.0055","0.0005","0.0055"
"0.7000","0.0061","0.0005","0.0061"
"0.7250","0.0066","0.0001","0.0066"
"0.7500","0.0072","-0.0004","0.0072"
"0.7750","0.0077","0.0007","0.0077"
"0.8000","0.0081","0.0004","0.0081"
"0.8250","0.0086","-0.0013","0.0086"
"0.8500","0.0090","-0.0014","0.0090"
"0.8750","0.0093","-0.0010","0.0093"
"0.9000","0.0097","-0.0009","0.0097"
"0.9250","0.0100","-0.0008","0.0100"
"0.9500","0.0103","-0.0006","0.0103"
"0.9750","0.0107","-0.0004","0.0107"
"1.0000","0.0110","0.0016","0.0110"
"1.0250","0.0113","0.0004","0.0113"
"1.0500","0.0116","0.0009","0.0116"
"1.0750","0.0120","0.0003","0.0120"
"1.1000","0.0123","-0.0007","0.0123"
"1.1250","0.0126","0.0006","0.0126"
"1.1500","0.0130","0.0003","0.0130"
"1.1750","0.0133","0.0014","0.0133"
"1.2000","0.0136","0.0006","0.0136"
"1.2250","0.0139","-0.0010","0.0139"
"1.2500","0.0142","0.0013","0.0142"
"1.2750","0.0145","-0.0002","0.0145"
"1.3000","0.0148","-0.0005","0.0148"
"1.3250","0.0151","-0.0009","0.0151"
"1.3500","0.0154","0.0001","0.0154"
"1.3750","0.0158","0.0000","0.0158"
"1.4000","0.0161","0.0012","0.0161"
"1.4250","0.0164","-0.0004","0.0164"
"1.4500","0.0167","0.0000","0.0167"
"1.4750","0.0170","0.0001","0.0170"
"1.5000","0.0173","0.0003","0.0173"
"1.5250","0.0176","-0.0002","0.0176"
"1.5500","0.0179","-0.0006","0.0179"
"1.5750","0.0182","0.0000","0.0182"
"1.6000","0.0186","-0.0002","0.0186"
"1.6250","0.0189","-0.0004","0.0189"
"1.6500","0.0192","-0.0010","0.0192"
"1.6750","0.0195","-0.0002","0.0195"
"1.7000","0.0198","0.0009","0.0198"
"1.7250","0.0201","0.0013","0.0201"
"1.7500","0.0204","-0.0001","0.0204"
"1.7750","0.0207","-0.0007","0.0207"
"1.8000","0.0210","-0.0014","0.0210"
"1.8250","0.0214","-0.0014","0.0214"
"1.8500","0.0217","0.0000","0.0217"
"1.8750","0.0220","0.0014","0.0220"
"1.9000","0.0223","0.0012","0.0223"
"1.9250","0.0226","0.0001","0.0226"
"1.9500","0.0229","0.0009","0.0229"
"1.9750","0.0232","-0.0007","0.0232"
"2.0000","0.0235","0.0001","0.0235"
"2.0250","0.0238","0.0000","0.0238"
"2.0500","0.0242","0.0009","0.0242"
"2.0750","0.0245","0.0009","0.0245"
"2.1000","0.0248","0.0002","0.0248"
"2.1250","0.0251","0.0000","0.0251"
"2.1500","0.0254","0.0005","0.0254"
"2.1750","0.0257","0.0008","0.0257"
"2.2000","0.0260","-0.0005","0.0260"
"2.2250","0.0263","-0.0002","0.0263"
"2.2500","0.0266","-0.0017","0.0266"
"2.2750","0.0269","-0.0004","0.0269"
