evidence,strategy,stage,evaluation_subset,batch_id,n,mae,bias,rmse,r2,rank_correlation,future_coverage,future_width
historical_forward_refit,batch,before_batch,full_slate,ROUND_002,12,15.584162834141507,-10.490362609999865,17.66737023653653,-0.297595152040387,0.5664335664335665,0.9166666666666666,55.64538478090507
historical_forward_refit,batch,before_batch,full_slate,ROUND_003,12,7.411678905819312,-0.11071242410531686,8.397892076453626,0.22263157140249434,0.6164632921377448,0.9166666666666666,59.12177731807075
historical_forward_refit,batch,before_batch,full_slate,ROUND_004,12,16.86533165533696,9.45254428446165,21.96856677483964,-0.3414755848032893,0.04195804195804196,0.75,52.893079860610094
historical_forward_refit,batch,before_batch,full_slate,ROUND_005,12,17.450526166895084,15.820386483310555,20.703584920742944,-0.314540628642614,0.8896686147896997,0.8333333333333334,60.2652711801452
historical_forward_refit,batch,before_batch,full_slate,ROUND_006,12,18.81402019774316,15.280755066040783,21.384562165881007,-0.673538661516994,0.23240012901731957,1.0,60.10943497155728
historical_forward_refit,batch,before_batch,full_slate,ROUND_007,12,18.22363379641375,15.728257856788666,20.714312262350017,-0.32502205317976185,0.6830133066298876,0.9166666666666666,64.54489410586365
historical_forward_refit,batch,before_batch,full_slate,ROUND_008,12,20.01984021450126,18.738566535321265,21.824787777457594,-2.674778019500608,0.5804195804195805,0.8333333333333334,67.39774821589992
historical_forward_refit,batch,before_batch,full_slate,ROUND_009,12,10.640320656218169,6.7399957283588305,13.27062415724559,0.38196183276687956,0.7552447552447553,1.0,69.30233318232213
historical_forward_refit,campaign,before_batch,full_slate,ROUND_002,12,15.582125639093652,-10.488653581308986,17.668420019997544,-0.29774936111415373,0.5664335664335665,0.9166666666666666,55.96403435039721
historical_forward_refit,campaign,before_batch,full_slate,ROUND_003,12,7.150968470095436,0.20587651404867824,8.154991789523145,0.26695037380929676,0.6164632921377448,0.9166666666666666,57.922059218090595
historical_forward_refit,campaign,before_batch,full_slate,ROUND_004,12,16.997666819844348,9.361785591319782,22.048049314036597,-0.35120009438073474,-0.06993006993006995,0.75,51.57878202764925
historical_forward_refit,campaign,before_batch,full_slate,ROUND_005,12,17.37269497221688,15.21822930784613,20.432602655667726,-0.28035466569472756,0.8126107032724816,0.75,57.70903992431769
historical_forward_refit,campaign,before_batch,full_slate,ROUND_006,12,19.57696795480474,13.309565597482012,21.63645898530842,-0.7131973568239978,0.3152369107522558,0.8333333333333334,52.56559522445858
historical_forward_refit,campaign,before_batch,full_slate,ROUND_007,12,14.68765138366298,11.540316843347968,17.193926917533684,0.08708105056497195,0.6690027772631207,0.8333333333333334,47.590790211877824
