batch_id,offset,sd,controls,ordinary,strategy,stage,target_batch
ROUND_001,5.901141913890098,4.623700693313251,0,12,batch,training,ROUND_011
ROUND_002,9.940592290102728,4.14333574734802,0,12,batch,training,ROUND_011
ROUND_003,9.920814283804289,4.782081279426244,0,12,batch,training,ROUND_011
ROUND_004,-0.596513735318176,4.3729293809054175,0,12,batch,training,ROUND_011
ROUND_005,-8.741854742684804,4.076858349182472,0,12,batch,training,ROUND_011
ROUND_006,-5.69155898596636,3.950833899400628,0,12,batch,training,ROUND_011
ROUND_007,-4.424573474457743,3.8391214715093382,0,12,batch,training,ROUND_011
ROUND_008,-13.612152848063198,4.110980642728322,0,12,batch,training,ROUND_011
ROUND_009,-3.2587233819103183,3.9699928288111543,0,12,batch,training,ROUND_011
ROUND_010,-16.75118380636289,4.085728340681697,0,11,batch,training,ROUND_011
ROUND_001,5.8968828308665415,4.620310106569381,0,12,control,training,ROUND_011
ROUND_002,9.970996272312693,4.139724918713645,0,12,control,training,ROUND_011
ROUND_003,9.914045910738023,4.778211655265966,0,12,control,training,ROUND_011
ROUND_004,-0.5723237701041768,4.369834479965327,0,12,control,training,ROUND_011
ROUND_005,-8.705764201789904,4.07417434302601,0,12,control,training,ROUND_011
ROUND_006,-5.658266174776332,3.948286374961864,0,12,control,training,ROUND_011
ROUND_007,-4.388156493005722,3.8366981182422326,0,12,control,training,ROUND_011
ROUND_008,-13.566759602857797,4.108373911424125,0,12,control,training,ROUND_011
ROUND_009,-3.215982448034506,3.9671217524883926,0,12,control,training,ROUND_011
ROUND_010,-16.594768307238844,4.070114314691365,1,11,control,training,ROUND_011
