formulation_id,batch_id,endpoint,protocol_id,mean,n_readouts,n_independent,sample_variance,independence_known,mean_variance,noise_source,mean_sd,policy_version,cutoff
legacy_lit_194,legacy_literature,viability_percent,unknown,55.0,1,1,,False,25.0,pooled_conservative_fallback,5.0,offline_replicate_noise_v1,ROUND_003
legacy_lit_195,legacy_literature,viability_percent,unknown,58.0,1,1,,False,25.0,pooled_conservative_fallback,5.0,offline_replicate_noise_v1,ROUND_003
legacy_lit_196,legacy_literature,viability_percent,unknown,80.0,1,1,,False,25.0,pooled_conservative_fallback,5.0,offline_replicate_noise_v1,ROUND_003
legacy_lit_197,legacy_literature,viability_percent,unknown,83.0,1,1,,False,25.0,pooled_conservative_fallback,5.0,offline_replicate_noise_v1,ROUND_003
legacy_lit_198,legacy_literature,viability_percent,unknown,86.0,1,1,,False,25.0,pooled_conservative_fallback,5.0,offline_replicate_noise_v1,ROUND_003
legacy_lit_199,legacy_literature,viability_percent,unknown,80.0,1,1,,False,25.0,pooled_conservative_fallback,5.0,offline_replicate_noise_v1,ROUND_003
legacy_lit_2,legacy_literature,viability_percent,unknown,12.5,1,1,,False,25.0,pooled_conservative_fallback,5.0,offline_replicate_noise_v1,ROUND_003
legacy_lit_20,legacy_literature,viability_percent,unknown,89.43,1,1,,False,25.0,pooled_conservative_fallback,5.0,offline_replicate_noise_v1,ROUND_003
legacy_lit_200,legacy_literature,viability_percent,unknown,80.0,1,1,,False,25.0,pooled_conservative_fallback,5.0,offline_replicate_noise_v1,ROUND_003
legacy_lit_202,legacy_literature,viability_percent,unknown,65.0,1,1,,False,25.0,pooled_conservative_fallback,5.0,offline_replicate_noise_v1,ROUND_003
legacy_lit_203,legacy_literature,viability_percent,unknown,63.0,1,1,,False,25.0,pooled_conservative_fallback,5.0,offline_replicate_noise_v1,ROUND_003
legacy_lit_204,legacy_literature,viability_percent,unknown,67.0,1,1,,False,25.0,pooled_conservative_fallback,5.0,offline_replicate_noise_v1,ROUND_003
legacy_lit_205,legacy_literature,viability_percent,unknown,75.0,1,1,,False,25.0,pooled_conservative_fallback,5.0,offline_replicate_noise_v1,ROUND_003
legacy_lit_206,legacy_literature,viability_percent,unknown,70.0,1,1,,False,25.0,pooled_conservative_fallback,5.0,offline_replicate_noise_v1,ROUND_003
legacy_lit_207,legacy_literature,viability_percent,unknown,70.0,1,1,,False,25.0,pooled_conservative_fallback,5.0,offline_replicate_noise_v1,ROUND_003
legacy_lit_208,legacy_literature,viability_percent,unknown,78.0,1,1,,False,25.0,pooled_conservative_fallback,5.0,offline_replicate_noise_v1,ROUND_003
legacy_lit_209,legacy_literature,viability_percent,unknown,70.0,1,1,,False,25.0,pooled_conservative_fallback,5.0,offline_replicate_noise_v1,ROUND_003
legacy_lit_21,legacy_literature,viability_percent,unknown,68.0,1,1,,False,25.0,pooled_conservative_fallback,5.0,offline_replicate_noise_v1,ROUND_003
legacy_lit_212,legacy_literature,viability_percent,unknown,69.66666666666667,1,1,,False,25.0,pooled_conservative_fallback,5.0,offline_replicate_noise_v1,ROUND_003
legacy_lit_215,legacy_literature,viability_percent,unknown,78.33333333333333,1,1,,False,25.0,pooled_conservative_fallback,5.0,offline_replicate_noise_v1,ROUND_003
legacy_lit_218,legacy_literature,viability_percent,unknown,65.0,1,1,,False,25.0,pooled_conservative_fallback,5.0,offline_replicate_noise_v1,ROUND_003
legacy_lit_22,legacy_literature,viability_percent,unknown,82.25,1,1,,False,25.0,pooled_conservative_fallback,5.0,offline_replicate_noise_v1,ROUND_003
legacy_lit_221,legacy_literature,viability_percent,unknown,70.66666666666667,1,1,,False,25.0,pooled_conservative_fallback,5.0,offline_replicate_noise_v1,ROUND_003
legacy_lit_224,legacy_literature,viability_percent,unknown,91.0,1,1,,False,25.0,pooled_conservative_fallback,5.0,offline_replicate_noise_v1,ROUND_003
legacy_lit_225,legacy_literature,viability_percent,unknown,38.0,1,1,,False,25.0,pooled_conservative_fallback,5.0,offline_replicate_noise_v1,ROUND_003
legacy_lit_235,legacy_literature,viability_percent,unknown,80.0,1,1,,False,25.0,pooled_conservative_fallback,5.0,offline_replicate_noise_v1,ROUND_003
legacy_lit_236,legacy_literature,viability_percent,unknown,83.4,1,1,,False,25.0,pooled_conservative_fallback,5.0,offline_replicate_noise_v1,ROUND_003
legacy_lit_237,legacy_literature,viability_percent,unknown,93.4,1,1,,False,25.0,pooled_conservative_fallback,5.0,offline_replicate_noise_v1,ROUND_003
legacy_lit_251,legacy_literature,viability_percent,unknown,5.0,1,1,,False,25.0,pooled_conservative_fallback,5.0,offline_replicate_noise_v1,ROUND_003
legacy_lit_252,legacy_literature,viability_percent,unknown,17.0,1,1,,False,25.0,pooled_conservative_fallback,5.0,offline_replicate_noise_v1,ROUND_003
legacy_lit_253,legacy_literature,viability_percent,unknown,60.0,1,1,,False,25.0,pooled_conservative_fallback,5.0,offline_replicate_noise_v1,ROUND_003
legacy_lit_254,legacy_literature,viability_percent,unknown,80.0,1,1,,False,25.0,pooled_conservative_fallback,5.0,offline_replicate_noise_v1,ROUND_003
legacy_lit_255,legacy_literature,viability_percent,unknown,9.833333333333334,1,1,,False,25.0,pooled_conservative_fallback,5.0,offline_replicate_noise_v1,ROUND_003
legacy_lit_256,legacy_literature,viability_percent,unknown,30.666666666666668,1,1,,False,25.0,pooled_conservative_fallback,5.0,offline_replicate_noise_v1,ROUND_003
legacy_lit_257,legacy_literature,viability_percent,unknown,62.0,1,1,,False,25.0,pooled_conservative_fallback,5.0,offline_replicate_noise_v1,ROUND_003
legacy_lit_258,legacy_literature,viability_percent,unknown,78.0,1,1,,False,25.0,pooled_conservative_fallback,5.0,offline_replicate_noise_v1,ROUND_003
legacy_lit_259,legacy_literature,viability_percent,unknown,7.0,1,1,,False,25.0,pooled_conservative_fallback,5.0,offline_replicate_noise_v1,ROUND_003
legacy_lit_260,legacy_literature,viability_percent,unknown,19.0,1,1,,False,25.0,pooled_conservative_fallback,5.0,offline_replicate_noise_v1,ROUND_003
legacy_lit_261,legacy_literature,viability_percent,unknown,75.0,1,1,,False,25.0,pooled_conservative_fallback,5.0,offline_replicate_noise_v1,ROUND_003
legacy_lit_262,legacy_literature,viability_percent,unknown,80.0,1,1,,False,25.0,pooled_conservative_fallback,5.0,offline_replicate_noise_v1,ROUND_003
legacy_lit_27,legacy_literature,viability_percent,unknown,70.0,1,1,,False,25.0,pooled_conservative_fallback,5.0,offline_replicate_noise_v1,ROUND_003
legacy_lit_274,legacy_literature,viability_percent,unknown,18.0,1,1,,False,25.0,pooled_conservative_fallback,5.0,offline_replicate_noise_v1,ROUND_003
legacy_lit_275,legacy_literature,viability_percent,unknown,30.0,1,1,,False,25.0,pooled_conservative_fallback,5.0,offline_replicate_noise_v1,ROUND_003
legacy_lit_276,legacy_literature,viability_percent,unknown,78.0,1,1,,False,25.0,pooled_conservative_fallback,5.0,offline_replicate_noise_v1,ROUND_003
legacy_lit_277,legacy_literature,viability_percent,unknown,84.0,1,1,,False,25.0,pooled_conservative_fallback,5.0,offline_replicate_noise_v1,ROUND_003
legacy_lit_278,legacy_literature,viability_percent,unknown,40.0,1,1,,False,25.0,pooled_conservative_fallback,5.0,offline_replicate_noise_v1,ROUND_003
legacy_lit_281,legacy_literature,viability_percent,unknown,74.0,1,1,,False,25.0,pooled_conservative_fallback,5.0,offline_replicate_noise_v1,ROUND_003
legacy_lit_287,legacy_literature,viability_percent,unknown,60.0,1,1,,False,25.0,pooled_conservative_fallback,5.0,offline_replicate_noise_v1,ROUND_003
legacy_lit_288,legacy_literature,viability_percent,unknown,82.0,1,1,,False,25.0,pooled_conservative_fallback,5.0,offline_replicate_noise_v1,ROUND_003
legacy_lit_289,legacy_literature,viability_percent,unknown,94.0,1,1,,False,25.0,pooled_conservative_fallback,5.0,offline_replicate_noise_v1,ROUND_003
legacy_lit_29,legacy_literature,viability_percent,unknown,58.0,1,1,,False,25.0,pooled_conservative_fallback,5.0,offline_replicate_noise_v1,ROUND_003
legacy_lit_299,legacy_literature,viability_percent,unknown,62.666666666666664,1,1,,False,25.0,pooled_conservative_fallback,5.0,offline_replicate_noise_v1,ROUND_003
legacy_lit_3,legacy_literature,viability_percent,unknown,77.74,1,1,,False,25.0,pooled_conservative_fallback,5.0,offline_replicate_noise_v1,ROUND_003
legacy_lit_30,legacy_literature,viability_percent,unknown,10.0,1,1,,False,25.0,pooled_conservative_fallback,5.0,offline_replicate_noise_v1,ROUND_003
legacy_lit_306,legacy_literature,viability_percent,unknown,99.0,1,1,,False,25.0,pooled_conservative_fallback,5.0,offline_replicate_noise_v1,ROUND_003
legacy_lit_308,legacy_literature,viability_percent,unknown,83.0,1,1,,False,25.0,pooled_conservative_fallback,5.0,offline_replicate_noise_v1,ROUND_003
legacy_lit_309,legacy_literature,viability_percent,unknown,99.0,1,1,,False,25.0,pooled_conservative_fallback,5.0,offline_replicate_noise_v1,ROUND_003
legacy_lit_31,legacy_literature,viability_percent,unknown,17.0,1,1,,False,25.0,pooled_conservative_fallback,5.0,offline_replicate_noise_v1,ROUND_003
legacy_lit_310,legacy_literature,viability_percent,unknown,87.0,1,1,,False,25.0,pooled_conservative_fallback,5.0,offline_replicate_noise_v1,ROUND_003
legacy_lit_313,legacy_literature,viability_percent,unknown,10.0,1,1,,False,25.0,pooled_conservative_fallback,5.0,offline_replicate_noise_v1,ROUND_003
legacy_lit_314,legacy_literature,viability_percent,unknown,10.0,1,1,,False,25.0,pooled_conservative_fallback,5.0,offline_replicate_noise_v1,ROUND_003
legacy_lit_315,legacy_literature,viability_percent,unknown,10.0,1,1,,False,25.0,pooled_conservative_fallback,5.0,offline_replicate_noise_v1,ROUND_003
legacy_lit_316,legacy_literature,viability_percent,unknown,73.0,1,1,,False,25.0,pooled_conservative_fallback,5.0,offline_replicate_noise_v1,ROUND_003
legacy_lit_317,legacy_literature,viability_percent,unknown,45.0,1,1,,False,25.0,pooled_conservative_fallback,5.0,offline_replicate_noise_v1,ROUND_003
legacy_lit_318,legacy_literature,viability_percent,unknown,38.0,1,1,,False,25.0,pooled_conservative_fallback,5.0,offline_replicate_noise_v1,ROUND_003
legacy_lit_319,legacy_literature,viability_percent,unknown,80.0,1,1,,False,25.0,pooled_conservative_fallback,5.0,offline_replicate_noise_v1,ROUND_003
legacy_lit_32,legacy_literature,viability_percent,unknown,20.0,1,1,,False,25.0,pooled_conservative_fallback,5.0,offline_replicate_noise_v1,ROUND_003
legacy_lit_322,legacy_literature,viability_percent,unknown,63.02,1,1,,False,25.0,pooled_conservative_fallback,5.0,offline_replicate_noise_v1,ROUND_003
legacy_lit_323,legacy_literature,viability_percent,unknown,77.66666666666667,1,1,,False,25.0,pooled_conservative_fallback,5.0,offline_replicate_noise_v1,ROUND_003
legacy_lit_326,legacy_literature,viability_percent,unknown,74.33333333333333,1,1,,False,25.0,pooled_conservative_fallback,5.0,offline_replicate_noise_v1,ROUND_003
legacy_lit_329,legacy_literature,viability_percent,unknown,61.666666666666664,1,1,,False,25.0,pooled_conservative_fallback,5.0,offline_replicate_noise_v1,ROUND_003
legacy_lit_33,legacy_literature,viability_percent,unknown,22.0,1,1,,False,25.0,pooled_conservative_fallback,5.0,offline_replicate_noise_v1,ROUND_003
