batch_id,offset,sd,controls,ordinary,strategy,stage,target_batch
ROUND_001,3.960610354840477,4.351948038671654,0,12,batch,training,ROUND_010
ROUND_002,5.348656908087177,4.184514908839377,0,12,batch,training,ROUND_010
ROUND_003,7.6021736807492335,4.476915061030154,0,12,batch,training,ROUND_010
ROUND_004,-0.7406019447324459,4.133575730232211,0,12,batch,training,ROUND_010
ROUND_005,-8.86976148932736,3.824865835045357,0,12,batch,training,ROUND_010
ROUND_006,-6.06464067250354,3.709744884776235,0,12,batch,training,ROUND_010
ROUND_007,-4.781730612268348,3.6320458591814,0,12,batch,training,ROUND_010
ROUND_008,-13.824392075309554,3.921464762227182,0,12,batch,training,ROUND_010
ROUND_009,-3.176871032203567,3.886788289675255,0,12,batch,training,ROUND_010
ROUND_001,3.960610354840477,4.351948038671654,0,12,control,training,ROUND_010
ROUND_002,5.348656908087177,4.184514908839377,0,12,control,training,ROUND_010
ROUND_003,7.6021736807492335,4.476915061030154,0,12,control,training,ROUND_010
ROUND_004,-0.7406019447324459,4.133575730232211,0,12,control,training,ROUND_010
ROUND_005,-8.86976148932736,3.824865835045357,0,12,control,training,ROUND_010
ROUND_006,-6.06464067250354,3.709744884776235,0,12,control,training,ROUND_010
ROUND_007,-4.781730612268348,3.6320458591814,0,12,control,training,ROUND_010
ROUND_008,-13.824392075309554,3.921464762227182,0,12,control,training,ROUND_010
ROUND_009,-3.176871032203567,3.886788289675255,0,12,control,training,ROUND_010
